tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0125,0.379920222918904,0.0975315898124223,-2.241402727604945,2.241402727604947,0.4838835212773968,0.457238959451164
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0125,0.4302790484190113,0.0430643449539693,-2.751523593712945,2.751523593712948,0.5521145493378073,0.6260660504173453
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0125,0.4244917408057393,0.0360268336416754,-2.241402727604945,2.241402727604947,0.4433824368979039,0.4827347844315213
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0125,0.4119667694246641,0.0622298855069082,-2.751523593712945,2.751523593712948,0.5762863977646242,0.5574769784650593
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.025,0.2974843182278753,0.0729039747097757,-1.9599639845400545,1.959963984540054,0.4745579476224133,0.4569339398314361
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.025,0.3020245840012229,0.0741568186340764,-2.3060041350333718,2.3060041350333704,0.5548934249469613,0.5568137533008497
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.025,0.2943972921614364,0.0162123776148373,-1.9599639845400545,1.959963984540054,0.4686532790512932,0.497559790782794
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.025,0.2839478079158067,0.0303116551369431,-2.306004135033371,2.3060041350333704,0.569393606676942,0.5824252066866583
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0375,0.2470762063327871,0.0676892507439588,-1.7804643416920256,1.7804643416920256,0.4766683183643463,0.450614263976978
CAC,EUREX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0375,0.211420540459772,0.0612112236675214,-2.0457622740501944,2.0457622740501957,0.6047882461468463,0.5539681535214447
