tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.5014715056989183,0.2214500416607648,0.5099019621761399,0.2913481544335103,0.1776903382773027,0.0333963164951171,,,,,0.1380632237748316,-0.0128708938269271,0.0100782943800776,0.0076439776935946,0.0447014765741153,0.0832024531573585,0.3681996387645824,0.9677198465867032,0.0034634806580039,0.0024843735423793,9988,250,125,125,500,250,250,14,14,14,-254.95542523990773,-148.11074887325276,-106.844676366655,537.9108504798155,324.2214977465055,241.68935273331,596.9153638577262,373.52195059657697,290.98980558338144,500,250,250,14,14,14,-1077.0203599854058,-552.0753074958203,-524.9450524895855,2182.040719970812,1132.1506149916406,1077.890104979171,2241.0452333487224,1181.451067841712,1127.1905578292424,500,250,250,14,14,14,822.064934745498,403.9645586225676,418.10037612293047,-1616.129869490996,-779.9291172451351,-808.2007522458609,-1557.1253561130854,-730.6286643950637,-758.9002993957895,2023-09-21 08:35:05.354529+00:00,2023-09-21 08:35:53.904676+00:00,0 days 00:00:48.549808999,2023-09-21 08:35:05.394563+00:00,2023-09-21 08:35:29.189977+00:00,0 days 00:00:23.795046600
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.5234221271290068,0.2140302757087653,0.5207305111512651,0.290465192042423,0.1570151844898331,0.0282372888729812,,,,,0.1257170041844612,0.1038264544800041,0.0131466694554827,0.0128632987251483,,,,,0.0032818449645278,0.0023600537100788,9988,250,125,125,500,250,250,10,6,6,-272.7789895321498,-151.9586623044936,-120.82032722765638,565.5579790642996,315.9173246089872,253.6406544553128,607.7040600485216,337.04609011616066,274.7694199624862,250,125,125,6,4,4,-1079.703624034872,-552.6888533936875,-527.0147706411847,2171.407248069744,1113.377706787375,1062.029541282369,2192.5360135769174,1124.6909617365843,1073.3427962315786,250,125,125,4,2,2,806.9246345027223,400.7301910891939,406.1944434135283,-1605.8492690054445,-797.4603821783878,-808.3888868270566,-1591.7634253339954,-791.8037547037832,-802.7322593524519,2023-09-21 08:33:14.186666+00:00,2023-09-21 08:33:32.890711+00:00,0 days 00:00:18.703876200,2023-09-21 08:33:14.231205+00:00,2023-09-21 08:33:20.462550+00:00,0 days 00:00:06.231476899
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.6679139482750435,,,0.6462702595205025,0.089276797141467,0.0509719716124557,,,,,0.1477194338776472,0.1093294410329512,0.0100080327260797,0.0116061814473466,0.0447237201487748,0.027686586507317,0.4426760239337193,1.853117671680626,0.0041510756465619,0.0044216217559937,9988,250,125,125,500,250,250,12,6,6,-325.763878063902,-150.32238503388203,-175.44149303002007,675.527756127804,312.64477006776406,362.88298606004014,726.1030533088702,333.7735355749375,384.0117515672136,500,250,250,12,6,6,-1135.7910820854058,-553.8155534837509,-581.975528601655,2295.582164170812,1119.631106967502,1175.95105720331,2346.157461351878,1140.7598724746754,1197.0798227104835,500,250,250,12,6,6,810.0272040215038,403.4931684498689,406.5340355716349,-1596.0544080430077,-794.9863368997378,-801.0680711432699,-1545.4791108619413,-773.8575713925643,-779.9393056360964,2023-09-21 08:33:46.832171+00:00,2023-09-21 08:34:25.590919+00:00,0 days 00:00:38.758752499,2023-09-21 08:33:46.871705+00:00,2023-09-21 08:34:07.766630+00:00,0 days 00:00:20.894723299
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.6741155892563535,,,0.6538190730591711,0.085511491901978,0.0524695146461516,,,,,0.1257170041844612,0.1038264544800041,0.0131466694554827,0.0128632987251483,,,,,0.0040735551342955,0.0043272615867603,9988,250,125,125,500,250,250,8,4,4,-334.9209327148721,-154.23313863694386,-180.68779407792837,685.8418654297443,316.4662772738877,369.3755881558567,719.5587302171218,330.5521209453367,383.46143182730566,250,125,125,4,2,2,-1141.8455672175944,-554.9633297261378,-586.8822374914566,2291.691134435189,1113.9266594522755,1177.7644749829133,2305.7769781066377,1119.5832869268802,1183.421102457518,250,125,125,4,2,2,806.9246345027223,400.7301910891939,406.1944434135283,-1605.8492690054445,-797.4603821783878,-808.3888868270566,-1591.7634253339954,-791.8037547037832,-802.7322593524519,2023-09-21 08:32:43.804104+00:00,2023-09-21 08:33:00.260721+00:00,0 days 00:00:16.456518299,2023-09-21 08:32:43.843637+00:00,2023-09-21 08:32:52.030160+00:00,0 days 00:00:08.186566099
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.5021651513716503,0.2601330979172998,0.5021651513716503,0.2601330979172998,0.1803256003342567,0.0344688383646001,,,,,0.1393775076559408,-0.0132315579669336,0.0100467402071794,0.0076984778859678,0.0434948199443728,0.0852110095912461,0.3728803116398492,0.8587007480148877,0.0029712718838881,0.0029712718838881,9988,250,125,125,500,250,250,12,12,12,-255.63174931595316,-148.44070803676868,-107.1910412791845,535.2634986319063,320.88141607353737,238.382082558369,585.8387958129725,363.13894708788433,280.639613572716,500,250,250,12,12,12,-1077.715720123908,-552.3739659044764,-525.3417542194314,2179.431440247816,1128.747931808953,1074.6835084388629,2230.006737428882,1171.0054628233,1116.94103945321,500,250,250,12,12,12,822.0839708079548,403.93325786770777,418.1507129402469,-1620.1679416159095,-783.8665157354155,-812.3014258804939,-1569.5926444348431,-741.6089847210686,-770.043894866147,2023-09-21 08:34:25.593421+00:00,2023-09-21 08:35:05.352026+00:00,0 days 00:00:39.758795,2023-09-21 08:34:25.625949+00:00,2023-09-21 08:34:47.384115+00:00,0 days 00:00:21.758306799
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.519158642997775,0.25541140984949,0.519158642997775,0.25541140984949,0.1600917183896149,0.028775561602008,,,,,0.1257170041844612,0.1038264544800041,0.0131466694554827,0.0128632987251483,,,,,0.0028178743394091,0.0028178743394091,9988,250,125,125,500,250,250,8,6,6,-273.38587783712705,-152.32478465331008,-121.06109318381704,562.7717556742541,316.6495693066201,254.12218636763407,596.4886204616316,337.7783348137936,275.2509518748075,250,125,125,4,4,4,-1080.3105123398493,-553.054975742504,-527.2555365973453,2168.6210246796986,1114.109951485008,1062.5110731946909,2182.7068683511475,1125.4232064342173,1073.8243281439,250,125,125,4,2,2,806.9246345027223,400.7301910891939,406.1944434135283,-1605.8492690054445,-797.4603821783878,-808.3888868270566,-1591.7634253339954,-791.8037547037832,-802.7322593524519,2023-09-21 08:33:00.263223+00:00,2023-09-21 08:33:14.184665+00:00,0 days 00:00:13.921491199,2023-09-21 08:33:00.310263+00:00,2023-09-21 08:33:06.080714+00:00,0 days 00:00:05.770753200
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.3678233451518996,0.3678233451518996,0.3678233451518996,0.3678233451518996,0.106227543418226,0.106227543418226,,,,,0.123318596059144,0.123318596059144,0.0087326651022499,0.0087326651022499,0.0659574956823089,0.0659574956823089,0.8750227875894859,0.8750227875894859,0.0033044163712025,0.0033044163712025,9988,250,125,125,500,250,250,6,6,6,-276.32961663916547,-154.95901270907717,-121.3706039300883,564.6592332783309,321.91802541815434,254.7412078601766,589.9468818688641,343.0467909253278,275.86997336735004,500,250,250,6,6,6,-1092.6280989539923,-557.9560612068763,-534.6720377471161,2197.2561979079846,1127.9121224137525,1081.344075494232,2222.5438464985177,1149.040887920926,1102.4728410014056,500,250,250,6,6,6,816.2984823148269,402.9970484977991,413.30143381702777,-1620.5969646296537,-793.9940969955982,-814.6028676340555,-1595.3093160391206,-772.8653314884247,-793.474102126882,2023-09-21 08:33:32.892713+00:00,2023-09-21 08:33:46.829669+00:00,0 days 00:00:13.936906099,2023-09-21 08:33:32.938253+00:00,2023-09-21 08:33:42.158663+00:00,0 days 00:00:09.220809900
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.370030706961846,0.370030706961846,0.370030706961846,0.370030706961846,0.1033008506686588,0.1033008506686588,,,,,0.1168827367899824,0.1168827367899824,0.0129786088680842,0.0129786088680842,,,,,0.0032492323259538,0.0032492323259538,9988,250,125,125,500,250,250,4,4,4,-290.9795384612877,-160.2145054728545,-130.7650329884333,589.9590769225754,328.429010945709,269.5300659768666,606.8175093162641,342.514854617158,283.61590964831555,250,125,125,2,2,2,-1097.8499569589785,-560.9187990816259,-536.9311578773527,2199.699913917957,1125.837598163252,1077.8623157547054,2206.742835753681,1131.4942256378563,1083.51894322931,250,125,125,2,2,2,806.8704184976908,400.7042936087714,406.1661248889194,-1609.7408369953816,-797.4085872175428,-808.3322497778388,-1602.6979151596572,-791.7519597429382,-802.6756223032341,2023-09-21 08:32:36.888672+00:00,2023-09-21 08:32:43.802102+00:00,0 days 00:00:06.913443900,2023-09-21 08:32:36.917198+00:00,2023-09-21 08:32:41.463097+00:00,0 days 00:00:04.545732399
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi,mark,0.0112621836350233,0.0112621836350233,0.4870851649530581,0.2152265079921903,0.4992837646568582,0.2852631682234421,0.1776658777803011,0.0333035118449747,,,,,0.1372200185152651,-0.0127163809727408,0.0100157679687718,0.0076002479509801,0.0456351695352347,0.0843298134253666,0.366573495321376,0.9614440419644058,0.0033526206052935,0.002426472006631,9988,250,125,125,500,250,250,16,16,16,-255.04264167187532,-148.16723593884234,-106.87540573303306,542.0852833437507,328.3344718776847,245.75081146606607,609.5190129185057,384.6778465634806,302.09418615186206,500,250,250,16,16,16,-1077.1003676764003,-552.1283120435248,-524.9720556328755,2186.2007353528006,1136.2566240870497,1081.944111265751,2253.634464927556,1192.5999987728455,1138.2874859515468,500,250,250,16,16,16,822.057726004525,403.9610761046825,418.0966498998424,-1612.11545200905,-775.922152209365,-804.1932997996848,-1544.681722434295,-719.578777523569,-747.849925113889,2023-09-21 08:40:51.589037+00:00,2023-09-21 08:41:53.194883+00:00,0 days 00:01:01.605656,2023-09-21 08:40:51.630572+00:00,2023-09-21 08:41:21.417626+00:00,0 days 00:00:29.787023499
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,bi,unmark,0.0112621836295003,0.0112621836290545,0.5093351054541817,0.2086598943873265,0.5105185312574342,0.2850240456843063,0.1569926550144745,0.0281403995813331,,,,,0.1257170041844612,0.1038264544800041,0.0131466694554827,0.0128632987251483,,,,,0.0031759920963152,0.0023026370425778,9988,250,125,125,500,250,250,12,7,7,-272.86639862522566,-152.01412232051553,-120.8522763047102,569.7327972504513,318.02824464103105,255.7045526094204,620.3080944315176,342.6784710660668,280.3547790344561,250,125,125,8,5,5,-1079.791033127948,-552.7443134097094,-527.0467197182385,2175.582066255896,1115.4886268194189,1064.093439436477,2203.753753598794,1129.6301955059305,1078.2350081229886,250,125,125,4,2,2,806.9246345027223,400.7301910891939,406.1944434135283,-1605.8492690054445,-797.4603821783878,-808.3888868270566,-1591.7634253339954,-791.8037547037832,-802.7322593524519,2023-09-21 08:38:33.092231+00:00,2023-09-21 08:38:59.548926+00:00,0 days 00:00:26.457103200,2023-09-21 08:38:33.137269+00:00,2023-09-21 08:38:41.950330+00:00,0 days 00:00:08.813200100
