tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,mark,norm,both,,,9988,9738,0,30119.39644417602,-60238.79288835204,-60238.79288835204,2023-09-23 23:13:12.668393+00:00,2023-09-23 23:13:12.668393+00:00,0 days 00:00:00
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,mark,t,both,9.131761827513262,,9988,9738,1,30339.375642781,-60676.751285562,-60669.56749452526,2023-09-23 23:13:32.575971+00:00,2023-09-23 23:13:33.714447+00:00,0 days 00:00:01.138054699
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,unmark,norm,both,,,9988,9738,0,30131.76111332037,-60263.52222664074,-60263.52222664074,2023-09-23 23:14:03.236772+00:00,2023-09-23 23:14:03.236772+00:00,0 days 00:00:00
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi,unmark,t,both,8.953156155646028,,9988,9738,1,30361.06378435317,-60720.12756870634,-60712.9437776696,2023-09-23 23:14:22.194535+00:00,2023-09-23 23:14:23.484141+00:00,0 days 00:00:01.289234200
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,norm,both,,,9988,9738,0,30024.88449496253,-60049.76898992506,-60049.76898992506,2023-09-23 23:14:52.703206+00:00,2023-09-23 23:14:52.703206+00:00,0 days 00:00:00
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,norm,left,,,9988,9738,1,30101.056157690156,-60200.11231538031,-60192.92852434357,2023-09-23 23:15:12.785433+00:00,2023-09-23 23:15:12.785433+00:00,0 days 00:00:00
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,norm,right,,,9988,9738,0,30018.196476741417,-60036.392953482835,-60036.392953482835,2023-09-23 23:15:24.419913+00:00,2023-09-23 23:15:24.419913+00:00,0 days 00:00:00
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,t,both,7.324901492796591,,9988,9738,1,30321.742532383298,-60641.485064766595,-60634.301273729856,2023-09-23 23:15:34.569620+00:00,2023-09-23 23:15:35.805680+00:00,0 days 00:00:01.235865899
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,t,left,6.628624876160743,,9988,9738,0,30450.113215606973,-60900.226431213945,-60900.226431213945,2023-09-23 23:16:04.693961+00:00,2023-09-23 23:16:05.660790+00:00,0 days 00:00:00.966425500
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,mark,t,right,5.978282222173243,,9988,9738,1,30418.12117809355,-60834.2423561871,-60827.05856515036,2023-09-23 23:16:25.072442+00:00,2023-09-23 23:16:25.557858+00:00,0 days 00:00:00.485468200
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,bi_d,unmark,norm,both,,,9988,9738,0,30014.411501801944,-60028.82300360389,-60028.82300360389,2023-09-23 23:16:42.316735+00:00,2023-09-23 23:16:42.316735+00:00,0 days 00:00:00
