tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,T,N_M,N_M_1,N_M_2,meta_res_start,meta_res_end,meta_res_delta
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,True,9988,250,125,125,2023-09-21 08:32:36.667984+00:00,2023-09-21 08:35:53.907679+00:00,0 days 00:03:17.239498700
CAC,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0340016039964296,0.0310348840821528,False,False,SLSQP,False,9988,250,125,125,2023-09-21 08:37:42.083976+00:00,2023-09-21 08:41:53.197386+00:00,0 days 00:04:11.113689799
CAC,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0266343531553639,0.0245595087575667,False,False,SLSQP,True,9988,500,250,250,2023-09-21 08:43:43.307842+00:00,2023-09-21 08:50:40.362099+00:00,0 days 00:06:57.054520800
CAC,EUREX,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0266343531553639,0.0245595087575667,False,False,SLSQP,False,9988,500,250,250,2023-09-21 08:53:03.741594+00:00,2023-09-21 09:02:11.657108+00:00,0 days 00:09:07.915584300
CAC,EUREX,1975-01-01,2015-01-01,0.0375,0.0375,left,right,0.0,0.0,-0.0226623980711814,0.0213786436370997,False,False,SLSQP,True,9988,750,375,375,2023-09-21 09:04:22.503351+00:00,2023-09-21 09:15:11.002648+00:00,0 days 00:10:48.499642499
CAC,EUREX,1975-01-01,2015-01-01,0.0375,0.0375,left,right,0.0,0.0,-0.0226623980711814,0.0213786436370997,False,False,SLSQP,False,9988,750,375,375,2023-09-21 09:17:23.270112+00:00,2023-09-21 09:30:38.702450+00:00,0 days 00:13:15.432237700
CAC,EUREX,1975-01-01,2015-01-01,0.05,0.05,left,right,0.0,0.0,-0.0200107308675923,0.0195068906612923,False,False,SLSQP,True,9988,1000,500,500,2023-09-21 09:34:00.546598+00:00,2023-09-21 09:48:14.764864+00:00,0 days 00:14:14.218406800
CAC,EUREX,1975-01-01,2015-01-01,0.05,0.05,left,right,0.0,0.0,-0.0200107308675923,0.0195068906612923,False,False,SLSQP,False,9988,1000,500,500,2023-09-21 09:51:41.972112+00:00,2023-09-21 10:09:53.466920+00:00,0 days 00:18:11.494449
CAC,EUREX,1975-01-01,2015-01-01,0.0625,0.0625,left,right,0.0,0.0,-0.017889987936394,0.0178120791550092,False,False,SLSQP,True,9988,1250,625,625,2023-09-21 10:14:45.632047+00:00,2023-09-21 10:34:38.934187+00:00,0 days 00:19:53.302152100
CAC,EUREX,1975-01-01,2015-01-01,0.0625,0.0625,left,right,0.0,0.0,-0.017889987936394,0.0178120791550092,False,False,SLSQP,False,9988,1250,625,625,2023-09-21 10:37:20.673432+00:00,2023-09-21 11:01:40.129385+00:00,0 days 00:24:19.455901800
CAC,EUREX,1975-01-01,2015-01-01,0.075,0.075,left,right,0.0,0.0,-0.0163104867942329,0.0162784417150402,False,False,SLSQP,True,9988,1500,750,750,2023-09-21 11:05:34.003509+00:00,2023-09-21 11:29:21.489537+00:00,0 days 00:23:47.486022800
CAC,EUREX,1975-01-01,2015-01-01,0.075,0.075,left,right,0.0,0.0,-0.0163104867942329,0.0162784417150402,False,False,SLSQP,False,9988,1500,750,750,2023-09-21 11:32:33.932120+00:00,2023-09-21 12:01:22.042031+00:00,0 days 00:28:48.109798500
CAC,EUREX,1975-01-01,2015-01-01,0.0875,0.0875,left,right,0.0,0.0,-0.0149242734491369,0.0151249460296709,False,False,SLSQP,True,9988,1748,874,874,2023-09-21 12:05:28.179173+00:00,2023-09-21 12:33:39.689188+00:00,0 days 00:28:11.509870299
CAC,EUREX,1975-01-01,2015-01-01,0.0875,0.0875,left,right,0.0,0.0,-0.0149242734491369,0.0151249460296709,False,False,SLSQP,False,9988,1748,874,874,2023-09-21 12:37:58.988622+00:00,2023-09-21 13:17:14.999160+00:00,0 days 00:39:16.010451900
CAC,EUREX,1975-01-01,2015-01-01,0.1,0.1,left,right,0.0,0.0,-0.0137624246031421,0.014205608628743,False,False,SLSQP,True,9988,1998,999,999,2023-09-21 13:18:50.129265+00:00,2023-09-21 13:51:59.953681+00:00,0 days 00:33:09.824490100
CAC,EUREX,1975-01-01,2015-01-01,0.1,0.1,left,right,0.0,0.0,-0.0137624246031421,0.014205608628743,False,False,SLSQP,False,9988,1998,999,999,2023-09-21 13:57:00.678649+00:00,2023-09-21 14:38:34.837695+00:00,0 days 00:41:34.159377200
CAC,EUREX,1975-01-01,2015-01-01,0.1125,0.1125,left,right,0.0,0.0,-0.0126761349787812,0.0133285090259486,False,False,SLSQP,True,9988,2248,1124,1124,2023-09-21 14:43:31.595261+00:00,2023-09-21 15:24:10.395139+00:00,0 days 00:40:36.857172700
CAC,EUREX,1975-01-01,2015-01-01,0.1125,0.1125,left,right,0.0,0.0,-0.0126761349787812,0.0133285090259486,False,False,SLSQP,False,9988,2248,1124,1124,2023-09-21 15:33:19.217932+00:00,2023-09-21 16:22:43.194998+00:00,0 days 00:49:23.976751899
CAC,EUREX,1975-01-01,2015-01-01,0.125,0.125,left,right,0.0,0.0,-0.0118131968851665,0.012513510511771,False,False,SLSQP,True,9988,2498,1249,1249,2023-09-21 16:32:24.229797+00:00,2023-09-21 17:19:49.225799+00:00,0 days 00:47:24.995949
CAC,EUREX,1975-01-01,2015-01-01,0.125,0.125,left,right,0.0,0.0,-0.0118131968851665,0.012513510511771,False,False,SLSQP,False,9988,2498,1249,1249,2023-09-21 17:28:24.789060+00:00,2023-09-21 18:24:10.645712+00:00,0 days 00:55:45.856721700
CAC,EUREX,1975-01-01,2015-01-01,0.1375,0.1375,left,right,0.0,0.0,-0.0110599325123901,0.0117292740815652,False,False,SLSQP,True,9988,2748,1374,1374,2023-09-21 18:38:44.978233+00:00,2023-09-21 19:30:13.617237+00:00,0 days 00:51:28.639362600
CAC,EUREX,1975-01-01,2015-01-01,0.1375,0.1375,left,right,0.0,0.0,-0.0110599325123901,0.0117292740815652,False,False,SLSQP,False,9988,2748,1374,1374,2023-09-21 19:45:57.705098+00:00,2023-09-21 20:49:09.163496+00:00,0 days 01:03:11.458298799
CAC,EUREX,1975-01-01,2015-01-01,0.15,0.15,left,right,0.0,0.0,-0.01025945708225,0.0111048483484479,False,False,SLSQP,True,9988,2998,1499,1499,2023-09-21 20:57:37.163770+00:00,2023-09-21 21:59:30.987071+00:00,0 days 01:01:53.822985300
CAC,EUREX,1975-01-01,2015-01-01,0.15,0.15,left,right,0.0,0.0,-0.01025945708225,0.0111048483484479,False,False,SLSQP,False,9988,2998,1499,1499,2023-09-21 22:01:13.133695+00:00,2023-09-21 23:22:34.151242+00:00,0 days 01:21:21.017313300
CAC,EUREX,1975-01-01,2015-01-01,0.1625,0.1625,left,right,0.0,0.0,-0.009615998937579,0.0104574404014529,False,False,SLSQP,True,9988,3246,1623,1623,2023-09-21 23:28:37.196170+00:00,2023-09-22 00:31:22.709312+00:00,0 days 01:02:45.513124800
CAC,EUREX,1975-01-01,2015-01-01,0.1625,0.1625,left,right,0.0,0.0,-0.009615998937579,0.0104574404014529,False,False,SLSQP,False,9988,3246,1623,1623,2023-09-22 00:50:08.729238+00:00,2023-09-22 02:09:47.520592+00:00,0 days 01:19:38.791821600
