tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.0125,0.3199537294019511,0.1760226494387074,-2.241402727604945,2.241402727604947,0.4975048274016295,0.4268968545009426
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.0125,0.4323070225467403,0.1337976243881432,-2.751523593712945,2.751523593712948,0.5198415991236129,0.5654919769035303
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.0125,0.3876458117787669,0.0659594842349585,-2.241402727604945,2.241402727604947,0.4308607007856073,0.5644175253253177
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.0125,0.3948310520069787,0.1800430902768102,-2.751523593712945,2.751523593712948,0.567504163167199,0.5393901908740824
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.025,0.307566145521586,0.1608457150982592,-1.9599639845400545,1.959963984540054,0.4243376752762219,0.4015443858358498
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.025,0.3225831037571989,0.1433104575551977,-2.306004135033371,2.3060041350333704,0.4968045130368315,0.4851451015110021
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.025,0.2784100589675937,0.206561611389715,-1.9599639845400545,1.959963984540054,0.4518764246369451,0.3870941840305454
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.025,0.3116615237297327,0.1352214074631518,-2.306004135033371,2.3060041350333704,0.500382072326768,0.5228618756631037
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.0375,0.2627620340056222,0.1582049958457806,-1.7804643416920256,1.7804643416920256,0.4170465763473598,0.3792368764471414
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.0375,0.2697307369752099,0.1577116562423494,-2.0457622740501944,2.0457622740501957,0.4740768655848423,0.4384555142930861
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.0375,0.2437201996688947,0.1737551288858475,-1.7804643416920256,1.7804643416920256,0.4353513075806309,0.3732227389746139
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.0375,0.2709868663799039,0.1690748628615165,-2.0457622740501944,2.0457622740501957,0.4719147514593573,0.4359473029197368
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.05,0.190667916733122,0.0980113266412628,-1.6448536269514729,1.6448536269514722,0.4633276714252594,0.4083011537151775
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.05,0.2135276297294331,0.1197404054733169,-1.859548037522843,1.859548037522842,0.4964991173588025,0.4444409068502425
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.05,0.2138747483873875,0.1145668250077429,-1.6448536269514729,1.6448536269514722,0.4333820204905383,0.4013551686643951
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.05,0.2122363815206749,0.1359956502144427,-1.8595480375228428,1.859548037522842,0.4880673791435228,0.4349611568895073
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.0625,0.1687180453468935,0.0716176690301257,-1.5341205443525463,1.5341205443525463,0.4692760625601772,0.4207822681176706
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.0625,0.1695647555011022,0.0695705317223614,-1.7133480229380778,1.7133480229380778,0.5270561135766165,0.4789746250633656
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.0625,0.1637514059577994,0.0678425686450267,-1.5341205443525463,1.5341205443525463,0.469032376344243,0.4336014624551459
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.0625,0.1611584334388675,0.0712160001642374,-1.7133480229380778,1.7133480229380778,0.5280014876445341,0.4855606577937474
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.075,0.13964998879063,0.0381364441913481,-1.4395314709384563,1.4395314709384563,0.4913204208189055,0.4482224199960003
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.075,0.1305555234551012,0.0460487196247801,-1.5922214398791406,1.592221439879141,0.5663394235853965,0.4982774588764037
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.075,0.1488921692453156,0.0369844061305194,-1.4395314709384563,1.4395314709384563,0.4726418137661561,0.4609588097236223
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.075,0.1438049569374771,0.040250097195945,-1.5922214398791406,1.592221439879141,0.534085624905484,0.5153727759870539
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.0875,0.1207889489467489,0.0342586976477721,-1.3563117453352471,1.3563117453352471,0.5060190993404778,0.4493076961309908
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.0875,0.1210461895089817,0.0293318080684088,-1.488271563486625,1.4882715634866246,0.5683787332052634,0.513743907488534
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.0875,0.1316068994140838,0.0396936942658022,-1.3563117453352471,1.3563117453352471,0.4829163785876966,0.4553642604334932
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.0875,0.1230591653633947,0.0440297064307352,-1.488271563486625,1.4882715634866246,0.5508281652939653,0.506949318102442
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.1,0.1224890710043936,0.0320303388904052,-1.2815515655446004,1.2815515655446004,0.4947654593232837,0.4494884774154006
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.1,0.11778024869667,0.0115981172707174,-1.3968153097434188,1.396815309743419,0.5611956860155034,0.5326004457962867
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.1,0.1188994873288705,0.0321284843789554,-1.2815515655446004,1.2815515655446004,0.4898800731131214,0.4603560685903872
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.1,0.1159361879821537,0.0260563726050545,-1.3968153097434188,1.396815309743419,0.550896441279073,0.5247177870526722
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.1125,0.1131729871893707,0.0050976360197193,-1.213339622488518,1.2133396224885171,0.4988809089867811,0.4764964470509344
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.1125,0.1013149647322129,0.0058870999434288,-1.3148461673777194,1.3148461673777192,0.5775282946912452,0.5384189531693291
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.1125,0.1119987321997781,0.0121798724167116,-1.213339622488518,1.2133396224885171,0.4916851627733093,0.4807381250358048
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,t,0.1125,0.1093247402140498,0.009781426427819,-1.3148461673777194,1.3148461673777192,0.5513660702277481,0.5439603562015343
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,norm,0.125,0.0945463027873838,0.0035151687584105,-1.150349380376008,1.150349380376008,0.5179542646254488,0.4780402666099454
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,0,1,t,0.125,0.0928004358657982,-0.0074241916757627,-1.2403182607824692,1.2403182607824692,0.5839661624494134,0.5553016301208327
DAX,EUREX,1959-10-02,2008-09-01,SLSQP,GARCH,1,1,1,norm,0.125,0.1058931574380201,-0.000377635732531,-1.150349380376008,1.150349380376008,0.4931942805320596,0.4951474027370865
