tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,T,N_M,N_M_1,N_M_2,meta_res_start,meta_res_end,meta_res_delta
DAX,EUREX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0292512059364887,0.0286988462538967,False,False,SLSQP,True,12210,306,153,153,2023-09-17 06:17:48.763520+00:00,2023-09-17 06:20:59.678217+00:00,0 days 00:03:10.914807100
DAX,EUREX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0292512059364887,0.0286988462538967,False,False,SLSQP,False,12210,306,153,153,2023-09-17 06:22:33.677563+00:00,2023-09-17 06:26:49.442536+00:00,0 days 00:04:15.765183700
DAX,EUREX,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0237163827011817,0.0226159071267022,False,False,SLSQP,True,12210,612,306,306,2023-09-17 06:28:32.041778+00:00,2023-09-17 06:35:17.124673+00:00,0 days 00:06:45.082793600
DAX,EUREX,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0237163827011817,0.0226159071267022,False,False,SLSQP,False,12210,612,306,306,2023-09-17 06:37:15.226748+00:00,2023-09-17 06:46:16.406195+00:00,0 days 00:09:01.179337400
DAX,EUREX,1959-10-02,2008-09-01,0.0375,0.0375,left,right,0.0,0.0,-0.0198008784571685,0.0195299270998476,False,False,SLSQP,True,12210,916,458,458,2023-09-17 06:47:44.355838+00:00,2023-09-17 06:58:18.319084+00:00,0 days 00:10:33.963210500
DAX,EUREX,1959-10-02,2008-09-01,0.0375,0.0375,left,right,0.0,0.0,-0.0198008784571685,0.0195299270998476,False,False,SLSQP,False,12210,916,458,458,2023-09-17 07:00:20.237441+00:00,2023-09-17 07:13:22.682390+00:00,0 days 00:13:02.445005400
DAX,EUREX,1959-10-02,2008-09-01,0.05,0.05,left,right,0.0,0.0,-0.0175312314513614,0.0174268480301579,False,False,SLSQP,True,12210,1222,611,611,2023-09-17 07:15:37.568901+00:00,2023-09-17 07:30:03.025746+00:00,0 days 00:14:25.456575800
DAX,EUREX,1959-10-02,2008-09-01,0.05,0.05,left,right,0.0,0.0,-0.0175312314513614,0.0174268480301579,False,False,SLSQP,False,12210,1222,611,611,2023-09-17 07:32:32.127483+00:00,2023-09-17 07:50:55.595030+00:00,0 days 00:18:23.467525400
DAX,EUREX,1959-10-02,2008-09-01,0.0625,0.0625,left,right,0.0,0.0,-0.0160422941536591,0.015948372082158,False,False,SLSQP,True,12210,1528,764,764,2023-09-17 07:53:39.571060+00:00,2023-09-17 08:12:24.943449+00:00,0 days 00:18:45.372416300
DAX,EUREX,1959-10-02,2008-09-01,0.0625,0.0625,left,right,0.0,0.0,-0.0160422941536591,0.015948372082158,False,False,SLSQP,False,12210,1528,764,764,2023-09-17 08:14:59.741584+00:00,2023-09-17 08:38:48.923766+00:00,0 days 00:23:49.182063500
DAX,EUREX,1959-10-02,2008-09-01,0.075,0.075,left,right,0.0,0.0,-0.0146435291041702,0.0148296825266479,False,False,SLSQP,True,12210,1832,916,916,2023-09-17 08:43:09.770110+00:00,2023-09-17 09:07:17.843039+00:00,0 days 00:24:08.072738599
DAX,EUREX,1959-10-02,2008-09-01,0.075,0.075,left,right,0.0,0.0,-0.0146435291041702,0.0148296825266479,False,False,SLSQP,False,12210,1832,916,916,2023-09-17 09:10:19.646902+00:00,2023-09-17 09:40:39.729282+00:00,0 days 00:30:20.082405200
DAX,EUREX,1959-10-02,2008-09-01,0.0875,0.0875,left,right,0.0,0.0,-0.0133556326238954,0.0138397253617606,False,False,SLSQP,True,12210,2138,1069,1069,2023-09-17 09:43:29.893633+00:00,2023-09-17 10:16:54.593295+00:00,0 days 00:33:24.699504700
DAX,EUREX,1959-10-02,2008-09-01,0.0875,0.0875,left,right,0.0,0.0,-0.0133556326238954,0.0138397253617606,False,False,SLSQP,False,12210,2138,1069,1069,2023-09-17 10:18:29.516936+00:00,2023-09-17 10:54:35.417240+00:00,0 days 00:36:05.900098400
DAX,EUREX,1959-10-02,2008-09-01,0.1,0.1,left,right,0.0,0.0,-0.0123623444127741,0.013016417164921,False,False,SLSQP,True,12210,2442,1221,1221,2023-09-17 11:01:13.969519+00:00,2023-09-17 11:40:11.842730+00:00,0 days 00:38:57.873175500
DAX,EUREX,1959-10-02,2008-09-01,0.1,0.1,left,right,0.0,0.0,-0.0123623444127741,0.013016417164921,False,False,SLSQP,False,12210,2442,1221,1221,2023-09-17 11:45:30.334152+00:00,2023-09-17 12:32:12.058803+00:00,0 days 00:46:41.724304600
DAX,EUREX,1959-10-02,2008-09-01,0.1125,0.1125,left,right,0.0,0.0,-0.0115497057141085,0.0122112361759482,False,False,SLSQP,True,12210,2748,1374,1374,2023-09-17 12:42:12.022308+00:00,2023-09-17 13:28:30.443918+00:00,0 days 00:46:18.421985
DAX,EUREX,1959-10-02,2008-09-01,0.1125,0.1125,left,right,0.0,0.0,-0.0115497057141085,0.0122112361759482,False,False,SLSQP,False,12210,2748,1374,1374,2023-09-17 13:36:38.113843+00:00,2023-09-17 14:32:49.887771+00:00,0 days 00:56:11.774141
DAX,EUREX,1959-10-02,2008-09-01,0.125,0.125,left,right,0.0,0.0,-0.0107789902912646,0.0115052287547168,False,False,SLSQP,True,12210,3054,1527,1527,2023-09-17 14:42:53.460380+00:00,2023-09-17 15:38:28.062838+00:00,0 days 00:55:34.602560200
DAX,EUREX,1959-10-02,2008-09-01,0.125,0.125,left,right,0.0,0.0,-0.0107789902912646,0.0115052287547168,False,False,SLSQP,False,12210,3054,1527,1527,2023-09-17 15:47:54.586083+00:00,2023-09-17 16:51:11.776394+00:00,0 days 01:03:17.189971700
DAX,EUREX,1959-10-02,2008-09-01,0.1375,0.1375,left,right,0.0,0.0,-0.0100984500212501,0.0107872295429737,False,False,SLSQP,True,12210,3358,1679,1679,2023-09-17 17:05:37.126147+00:00,2023-09-17 18:00:51.686868+00:00,0 days 00:55:14.560861199
DAX,EUREX,1959-10-02,2008-09-01,0.1375,0.1375,left,right,0.0,0.0,-0.0100984500212501,0.0107872295429737,False,False,SLSQP,False,12210,3358,1679,1679,2023-09-17 18:23:32.931120+00:00,2023-09-17 19:44:54.795817+00:00,0 days 01:21:21.864464500
DAX,EUREX,1959-10-02,2008-09-01,0.15,0.15,left,right,0.0,0.0,-0.0094333279737614,0.0101723139888173,False,False,SLSQP,True,12210,3664,1832,1832,2023-09-17 19:58:39.855919+00:00,2023-09-17 21:11:56.108959+00:00,0 days 01:13:16.253005900
DAX,EUREX,1959-10-02,2008-09-01,0.15,0.15,left,right,0.0,0.0,-0.0094333279737614,0.0101723139888173,False,False,SLSQP,False,12210,3664,1832,1832,2023-09-17 21:13:47.231032+00:00,2023-09-17 22:35:43.985236+00:00,0 days 01:21:56.754095
DAX,EUREX,1959-10-02,2008-09-01,0.1625,0.1625,left,right,0.0,0.0,-0.0088729883993517,0.0096570344639627,False,False,SLSQP,True,12210,3968,1984,1984,2023-09-17 22:39:43.247236+00:00,2023-09-17 23:56:41.416139+00:00,0 days 01:16:58.169016200
