tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.5163732276320341,0.319806378245543,0.5905320077701903,0.302533425007385,0.1156981467293427,0.0175630757614946,,,,,0.2077083407232955,-0.1640703439541393,0.0080355145012094,0.007824032786506,0.0589472759679872,0.0926962201852904,0.8830940323989799,0.0204085951771962,0.0020477549265302,0.0013366820902803,10025,252,126,126,504,252,252,14,14,14,-213.1684406255356,-128.5289880541576,-84.63945257137794,454.3368812510712,285.0579761083152,197.2789051427559,513.4529490040703,334.4699833334751,246.6909123679158,504,252,252,14,14,14,-1050.5151026876736,-536.893472758169,-513.6216299295045,2129.030205375347,1101.786945516338,1055.243259859009,2188.1462731283464,1151.1989527414978,1104.6552670841688,504,252,252,14,14,14,837.346662062138,408.3644847040114,428.9821773581265,-1646.693324124276,-788.7289694080227,-829.9643547162531,-1587.5772563712767,-739.3169621828629,-780.5523474910931,2023-09-21 08:35:03.701611+00:00,2023-09-21 08:35:56.657037+00:00,0 days 00:00:52.955312900,2023-09-21 08:35:03.747651+00:00,2023-09-21 08:35:31.916315+00:00,0 days 00:00:28.168737199
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.5079049688955631,0.3264743284545759,0.565319248529751,0.3269368438426727,0.1227229622855032,0.0189713936771861,,,,,0.0333969658860802,0.1216562065012823,0.014266709611571,0.0122162394128998,,,,,0.0020702587831232,0.0013467988453447,10025,252,126,126,504,252,252,10,6,6,-235.54046759257776,-133.74191192698663,-101.79855566559117,491.0809351851556,279.48382385397326,215.5971113311823,533.3066978658693,300.6603983790418,236.77368585625084,252,126,126,6,4,4,-1054.5150842894266,-539.010982109176,-515.5041021802506,2121.030168578853,1086.021964218352,1039.0082043605012,2142.206743103922,1097.3670918461578,1050.353331988307,252,126,126,4,2,2,818.9746166968488,405.26907018218935,413.7055465146594,-1629.9492333936976,-806.5381403643787,-823.4110930293189,-1615.831517043652,-800.8655765504758,-817.738529215416,2023-09-21 08:33:14.429875+00:00,2023-09-21 08:33:32.250162+00:00,0 days 00:00:17.820686400,2023-09-21 08:33:14.475915+00:00,2023-09-21 08:33:20.142777+00:00,0 days 00:00:05.666872299
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.7297415328093543,,,0.7804863188726255,0.0643867702778559,0.0353796182753054,,,,,0.2042582853776938,0.0871151134162142,0.007632096979275,0.0092285095717186,0.0703675690223171,0.0720529128529386,0.4585336154940404,0.5993957224164816,0.003378230839883,0.0027439210140921,10025,252,126,126,504,252,252,12,6,6,-287.40615939566646,-135.34722079670962,-152.05893859895673,598.8123187913329,282.69444159341924,316.11787719791346,649.4832340081894,303.8710161184878,337.294451722982,504,252,252,12,6,6,-1112.252708998205,-544.0797201665299,-568.172988831675,2248.50541799641,1100.1594403330598,1148.34597766335,2299.1763332132664,1121.3360148581285,1169.5225521884186,504,252,252,12,6,6,824.8465496025385,408.7324993698203,416.1140502327182,-1625.693099205077,-805.4649987396406,-820.2281004654365,-1575.0221839882206,-784.288424214572,-799.0515259403679,2023-09-21 08:33:45.227794+00:00,2023-09-21 08:34:22.540803+00:00,0 days 00:00:37.312813100,2023-09-21 08:33:45.263324+00:00,2023-09-21 08:34:05.094838+00:00,0 days 00:00:19.831358800
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.7371638030198051,,,0.7825118213698717,0.0604490820483253,0.0363660489140731,,,,,0.0333969658860802,0.1216562065012823,0.014266709611571,0.0122162394128998,,,,,0.0032854524622524,0.0027186022328766,10025,252,126,126,504,252,252,8,4,4,-295.6897644250488,-139.7634140180694,-155.9263504069795,607.3795288500976,287.5268280361388,319.852700813959,641.1601389946685,301.64454438618446,333.9704171640047,252,126,126,4,2,2,-1114.6643811218976,-545.0324842002588,-569.6318969216389,2237.328762243795,1094.0649684005175,1143.263793843278,2251.4464785938408,1099.7375322144203,1148.936357657181,252,126,126,4,2,2,818.9746166968488,405.26907018218935,413.7055465146594,-1629.9492333936976,-806.5381403643787,-823.4110930293189,-1615.831517043652,-800.8655765504758,-817.738529215416,2023-09-21 08:32:43.365227+00:00,2023-09-21 08:32:59.268369+00:00,0 days 00:00:15.903007899,2023-09-21 08:32:43.408264+00:00,2023-09-21 08:32:51.398119+00:00,0 days 00:00:07.989929400
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.5520499176342492,0.3128764435662855,0.5520499176342492,0.3128764435662855,0.1171807767040137,0.0174680545085149,,,,,0.2045399978706849,-0.1603755350441389,0.008086382224551,0.0077536073919931,0.0559611656445624,0.0973363487904956,0.8567266105090816,0.0278985305980546,0.0016884204849933,0.0016884204849933,10025,252,126,126,504,252,252,12,12,12,-213.8641995278053,-128.8296307270304,-85.03456880077516,451.7283990556107,281.6592614540608,194.06913760155032,502.3993142724671,324.0124105041979,236.4222866516874,504,252,252,12,12,12,-1051.2166234141569,-537.3001181803559,-513.9165052338012,2126.4332468283137,1098.6002363607115,1051.8330104676024,2177.10416204517,1140.9533854108488,1094.1861595177395,504,252,252,12,12,12,837.3524238863515,408.4704874533255,428.88193643302606,-1650.704847772703,-792.9409749066509,-833.7638728660521,-1600.0339325558466,-750.5878258565139,-791.410723815915,2023-09-21 08:34:22.543305+00:00,2023-09-21 08:35:03.699109+00:00,0 days 00:00:41.155976600,2023-09-21 08:34:22.582338+00:00,2023-09-21 08:34:46.245637+00:00,0 days 00:00:23.663302399
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.5371098510000627,0.326844164741376,0.5371098510000627,0.326844164741376,0.1226416484506919,0.0187711390796917,,,,,0.0333969658860802,0.1216562065012823,0.014266709611571,0.0122162394128998,,,,,0.001700574803232,0.001700574803232,10025,252,126,126,504,252,252,8,6,6,-236.14101708767717,-134.01075321548274,-102.13026387219428,488.2820341753543,280.0215064309655,216.26052774438855,522.0626443199252,301.198080956034,237.4371022694571,252,126,126,4,4,4,-1055.115633784526,-539.2798233976721,-515.8358103868537,2118.231267569052,1086.5596467953442,1039.6716207737074,2132.348983919097,1097.90477442315,1051.0167484015133,252,126,126,4,2,2,818.9746166968488,405.26907018218935,413.7055465146594,-1629.9492333936976,-806.5381403643787,-823.4110930293189,-1615.831517043652,-800.8655765504758,-817.738529215416,2023-09-21 08:32:59.270372+00:00,2023-09-21 08:33:14.426873+00:00,0 days 00:00:15.156157899,2023-09-21 08:32:59.314409+00:00,2023-09-21 08:33:06.276381+00:00,0 days 00:00:06.962246999
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.4038511118801968,0.4038511118801968,0.4038511118801968,0.4038511118801968,0.0758488911670871,0.0758488911670871,,,,,0.1437436736089542,0.1437436736089542,0.0071156769123892,0.0071156769123892,0.0782183307143601,0.0782183307143601,0.7856099422633741,0.7856099422633741,0.002403722202995,0.002403722202995,10025,252,126,126,504,252,252,6,6,6,-236.42795256898103,-137.8935997997511,-98.53435276922988,484.85590513796205,287.7871995995022,209.06870553845977,510.1913627463903,308.9637741245707,230.2452800635283,504,252,252,6,6,6,-1067.4100013923744,-545.2620430808809,-522.1479583114935,2146.820002784749,1102.5240861617615,1056.295916622987,2172.155460393177,1123.7006606868304,1077.4724911480555,504,252,252,6,6,6,830.9820488233934,407.36844328112977,423.61360554226366,-1649.9640976467867,-802.7368865622595,-835.2272110845273,-1624.6286400383583,-781.560312037191,-814.0506365594588,2023-09-21 08:33:32.253164+00:00,2023-09-21 08:33:45.226793+00:00,0 days 00:00:12.973515200,2023-09-21 08:33:32.297702+00:00,2023-09-21 08:33:40.760963+00:00,0 days 00:00:08.463035599
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.4062711142954081,0.4062711142954081,0.4062711142954081,0.4062711142954081,0.0743275585334247,0.0743275585334247,,,,,0.0680634355361587,0.0680634355361587,0.0133429434310184,0.0133429434310184,,,,,0.0023432221426147,0.0023432221426147,10025,252,126,126,504,252,252,4,4,4,-252.71015453306995,-141.82590306493012,-110.88425146813978,513.4203090661399,291.65180612986023,229.7685029362796,530.3106141384254,305.7695224799059,243.8862192863253,252,126,126,2,2,2,-1071.3767715137035,-546.959958546225,-524.4168129674784,2146.753543027407,1097.91991709245,1052.833625934957,2153.81240120243,1103.592480906353,1058.50618974886,252,126,126,2,2,2,818.6666169806335,405.1340554812949,413.5325614993386,-1633.333233961267,-806.2681109625898,-823.0651229986773,-1626.2743757862445,-800.5955471486869,-817.3925591847744,2023-09-21 08:32:36.284154+00:00,2023-09-21 08:32:43.362725+00:00,0 days 00:00:07.078769200,2023-09-21 08:32:36.314182+00:00,2023-09-21 08:32:41.101785+00:00,0 days 00:00:04.788034800
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi,mark,0.0113346418056918,0.0113346418056918,0.5073397462432901,0.3152828032638773,0.5835730342731134,0.2998606526367191,0.1156654338999518,0.0175353997940877,,,,,0.2064940504678872,-0.1640408722631617,0.0079871322341887,0.0078226219327006,0.059451163770167,0.0935298350372106,0.8789933284457938,0.0203233435914852,0.002010509865743,0.0013212374054871,10025,252,126,126,504,252,252,16,16,16,-213.1930701841316,-128.54608800633622,-84.6469821777954,458.3861403682631,289.09217601267244,201.2939643555908,525.947360657405,345.5630414128552,257.7648297557736,504,252,252,16,16,16,-1050.536411704251,-536.9066084648418,-513.6298032394088,2133.0728234085013,1105.8132169296837,1059.2596064788177,2200.6340436976434,1162.2840823298664,1115.7304718790003,504,252,252,16,16,16,837.3433415201191,408.3605204585056,428.98282106161344,-1642.6866830402382,-784.7210409170112,-825.9656421232269,-1575.1254627510964,-728.2501755168284,-769.4947767230441,2023-09-21 08:40:51.176182+00:00,2023-09-21 08:41:57.816848+00:00,0 days 00:01:06.640474799,2023-09-21 08:40:51.216217+00:00,2023-09-21 08:41:25.641749+00:00,0 days 00:00:34.425645200
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi,unmark,0.0113346418055615,0.0113346418055585,0.4995950221272342,0.3214174103910025,0.5592489788762587,0.3235393870354398,0.1227234538730863,0.0189396696461094,,,,,0.0333969658860802,0.1216562065012823,0.014266709611571,0.0122162394128998,,,,,0.0020287599650554,0.0013285518878334,10025,252,126,126,504,252,252,12,7,7,-235.56857511575103,-133.75881346766118,-101.80976164808976,495.1371502315021,281.5176269353224,217.61952329617952,545.8080654483585,306.2236305479023,242.32552690875949,252,126,126,8,5,5,-1054.5431918125998,-539.0278836498505,-515.5153081627492,2125.0863836252,1088.055767299701,1041.0306163254984,2153.321816325291,1102.2371768344583,1055.2120258602558,252,126,126,4,2,2,818.9746166968488,405.26907018218935,413.7055465146594,-1629.9492333936976,-806.5381403643787,-823.4110930293189,-1615.831517043652,-800.8655765504758,-817.738529215416,2023-09-21 08:38:28.231561+00:00,2023-09-21 08:38:55.452412+00:00,0 days 00:00:27.220907799,2023-09-21 08:38:28.266091+00:00,2023-09-21 08:38:37.907362+00:00,0 days 00:00:09.641562599
