tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,mark,norm,both,,,10025,9773,0,30478.21215779992,-60956.42431559984,-60956.42431559984,2023-09-23 23:13:12.963146+00:00,2023-09-23 23:13:12.963146+00:00,0 days 00:00:00
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,mark,t,both,10.877742281033951,,10025,9773,1,30677.88446166394,-61353.76892332788,-61346.58154456754,2023-09-23 23:13:35.539012+00:00,2023-09-23 23:13:36.858644+00:00,0 days 00:00:01.319865399
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,unmark,norm,both,,,10025,9773,0,30479.003496562316,-60958.00699312463,-60958.00699312463,2023-09-23 23:14:06.280383+00:00,2023-09-23 23:14:06.280383+00:00,0 days 00:00:00
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,unmark,t,both,10.76030540801158,,10025,9773,1,30682.87753687553,-61363.75507375106,-61356.56769499072,2023-09-23 23:14:28.118116+00:00,2023-09-23 23:14:29.450259+00:00,0 days 00:00:01.332105900
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,norm,both,,,10025,9773,0,30321.57023004013,-60643.14046008026,-60643.14046008026,2023-09-23 23:14:58.783922+00:00,2023-09-23 23:14:58.783922+00:00,0 days 00:00:00
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,norm,left,,,10025,9773,1,30388.654715986104,-60775.30943197221,-60768.12205321187,2023-09-23 23:15:18.688496+00:00,2023-09-23 23:15:18.688496+00:00,0 days 00:00:00
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,norm,right,,,10025,9773,0,30399.93923270352,-60799.87846540704,-60799.87846540704,2023-09-23 23:15:29.961667+00:00,2023-09-23 23:15:29.961667+00:00,0 days 00:00:00
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,t,both,8.799010479404744,,10025,9773,1,30574.777262738517,-61147.55452547703,-61140.36714671669,2023-09-23 23:15:39.806112+00:00,2023-09-23 23:15:41.066693+00:00,0 days 00:00:01.260233300
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,t,left,6.5531926514379615,,10025,9773,0,30789.317749748523,-61578.635499497046,-61578.635499497046,2023-09-23 23:16:10.341305+00:00,2023-09-23 23:16:11.314640+00:00,0 days 00:00:00.973442200
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,t,right,6.509574735027406,,10025,9773,1,30818.40731053441,-61634.81462106882,-61627.62724230848,2023-09-23 23:16:30.326449+00:00,2023-09-23 23:16:31.301285+00:00,0 days 00:00:00.974964499
