tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,mark,,,0.0765026749965722,0.0820491913999437,0.0770592763752115,0.08010426006527,0.029336541960238,0.0056086456296943,,,,,0.1107287133514138,0.1017861982698184,0.0021369561119607,0.0015035190274635,0.0247492086951145,0.019187409825877,0.5553777931654027,0.0621179357211708,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi,unmark,,,0.0794292283422327,0.0859006624566946,0.0778761460589473,0.081664636183858,0.0320433517829993,0.006022560082516,,,,,0.0912530636309308,0.1232741655946274,0.0018115542425983,0.0018558076263084,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,mark,,,0.0474891695363273,,,0.051886045794837,0.0120880484554077,0.0074430273693697,,,,,0.1157958143178001,0.112104923867154,0.0022649502618391,0.0018729949566906,0.0290708156176836,0.0340310950019218,0.3763310252754315,0.4265946543241283,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,bi_d,unmark,,,0.0469404232330624,,,0.0516174503450988,0.0119969646568715,0.0077669531917427,,,,,0.0912530636309308,0.1232741655946274,0.0018115542425983,0.0018558076263084,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci,mark,,,0.0631764152013726,0.0653331229828338,0.0631764152013726,0.0653331229828338,0.029450245234461,0.0054097410235536,,,,,0.112916905043336,0.1016687002669533,0.002191160337586,0.0014962578520303,0.0237275567620225,0.0196928729817709,0.5502342301194781,0.0977020419630383,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci,unmark,,,0.0634069551102031,0.0662569249757392,0.0634069551102031,0.0662569249757392,0.0317359055203897,0.0057228838626393,,,,,0.0912530636309308,0.1232741655946274,0.0018115542425983,0.0018558076263084,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci_s,mark,,,0.0159104282489383,0.0159104282489383,0.0159104282489383,0.0159104282489383,0.0118021451287016,0.0118021451287016,,,,,0.0716174043942023,0.0716174043942023,0.0012566289539448,0.0012566289539448,0.0175388178134167,0.0175388178134167,0.4383721784429548,0.4383721784429548,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,True,ci_s,unmark,,,0.0157305670702855,0.0157305670702855,0.0157305670702855,0.0157305670702855,0.0118559028115527,0.0118559028115527,,,,,0.0755969091577736,0.0755969091577736,0.0013114085345801,0.0013114085345801,,,,,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi,mark,0.0046315955869958,0.0046466107400307,0.0869664891440723,0.0862258736773368,0.0928708647538874,0.078291783439029,0.0289568327100274,0.0053637139251936,,,,,0.0914509420302115,0.0939413449175035,0.0018744708420513,0.0013819253416668,0.0246319929890886,0.0210841959971193,0.5636994370932693,0.1658935820108211,,
DAX,EUREX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341112757172476,0.0309776058935389,False,False,SLSQP,False,bi,unmark,0.0044330499878856,0.0044314450688512,0.0882208568508934,0.0882316178795284,0.0916083101243317,0.0849193560370818,0.0320251795543694,0.005940282066816,,,,,0.0912530636309308,0.1232741655946274,0.0018115542425983,0.0018558076263084,,,,,,
