tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,T,N_M,N_M_1,N_M_2,meta_res_start,meta_res_end,meta_res_delta
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,True,12311,308,154,154,2023-09-17 06:17:48.060916+00:00,2023-09-17 06:21:06.777323+00:00,0 days 00:03:18.715999299
DJI,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0228185454002626,0.0233660410369407,False,False,SLSQP,False,12311,308,154,154,2023-09-17 06:22:33.051525+00:00,2023-09-17 06:27:02.561820+00:00,0 days 00:04:29.510023100
DJI,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0186380333454361,0.018846872857487,False,False,SLSQP,True,12311,616,308,308,2023-09-17 06:28:32.154375+00:00,2023-09-17 06:35:47.533827+00:00,0 days 00:07:15.379791600
DJI,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0186380333454361,0.018846872857487,False,False,SLSQP,False,12311,616,308,308,2023-09-17 06:37:14.544662+00:00,2023-09-17 06:45:52.565190+00:00,0 days 00:08:38.020724600
DJI,NASDAQ,1959-10-02,2008-09-01,0.0375,0.0375,left,right,0.0,0.0,-0.0160257715481619,0.0165004365410529,False,False,SLSQP,True,12311,924,462,462,2023-09-17 06:47:43.913458+00:00,2023-09-17 06:58:20.857267+00:00,0 days 00:10:36.943606
DJI,NASDAQ,1959-10-02,2008-09-01,0.0375,0.0375,left,right,0.0,0.0,-0.0160257715481619,0.0165004365410529,False,False,SLSQP,False,12311,924,462,462,2023-09-17 07:00:19.414233+00:00,2023-09-17 07:13:51.480158+00:00,0 days 00:13:32.066171500
DJI,NASDAQ,1959-10-02,2008-09-01,0.05,0.05,left,right,0.0,0.0,-0.0143201751631907,0.0146195774319672,False,False,SLSQP,True,12311,1232,616,616,2023-09-17 07:15:37.521360+00:00,2023-09-17 07:31:01.931909+00:00,0 days 00:15:24.410846199
DJI,NASDAQ,1959-10-02,2008-09-01,0.05,0.05,left,right,0.0,0.0,-0.0143201751631907,0.0146195774319672,False,False,SLSQP,False,12311,1232,616,616,2023-09-17 07:32:31.279253+00:00,2023-09-17 07:51:12.819344+00:00,0 days 00:18:41.540031
DJI,NASDAQ,1959-10-02,2008-09-01,0.0625,0.0625,left,right,0.0,0.0,-0.013007186587152,0.0132110372258806,False,False,SLSQP,True,12311,1540,770,770,2023-09-17 07:53:38.253927+00:00,2023-09-17 08:12:32.027540+00:00,0 days 00:18:53.773750299
DJI,NASDAQ,1959-10-02,2008-09-01,0.0625,0.0625,left,right,0.0,0.0,-0.013007186587152,0.0132110372258806,False,False,SLSQP,False,12311,1540,770,770,2023-09-17 08:14:59.226641+00:00,2023-09-17 08:41:24.368958+00:00,0 days 00:26:25.142597500
DJI,NASDAQ,1959-10-02,2008-09-01,0.075,0.075,left,right,0.0,0.0,-0.0119294489384633,0.0121819851322391,False,False,SLSQP,True,12311,1848,924,924,2023-09-17 08:43:09.095530+00:00,2023-09-17 09:08:27.088594+00:00,0 days 00:25:17.993081900
DJI,NASDAQ,1959-10-02,2008-09-01,0.075,0.075,left,right,0.0,0.0,-0.0119294489384633,0.0121819851322391,False,False,SLSQP,False,12311,1848,924,924,2023-09-17 09:10:19.291096+00:00,2023-09-17 09:41:56.557359+00:00,0 days 00:31:37.266066600
