tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0125,0.3445736703845435,-0.0158303164932955,-2.241402727604945,2.241402727604947,0.4603622993531849,0.5124622089039941
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0125,0.3352366012649241,-0.0270938954449442,-2.751523593712945,2.7515235937129474,0.5977636619204358,0.6206466849984726
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0125,0.2905750828993231,0.0046268683627616,-2.241402727604945,2.241402727604947,0.4880316752151517,0.4744665872136882
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0125,0.3222221564158728,-0.0235958618842487,-2.7515235937129447,2.7515235937129474,0.5861311189118105,0.5807448718362976
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.025,0.2202704519218585,0.0148749230497522,-1.9599639845400545,1.959963984540054,0.5073185195270986,0.4792310831766025
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.025,0.2280258937857791,0.0093640162797844,-2.306004135033371,2.3060041350333704,0.6016421429473647,0.5772164493006429
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.025,0.2505133598798438,-0.0147563936837651,-1.9599639845400545,1.959963984540054,0.4642502026799249,0.4978269098764475
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.025,0.252517879751593,-0.0104778122169484,-2.306004135033371,2.3060041350333704,0.550331543725577,0.5757702382051159
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0375,0.155509408053137,0.0292952765276478,-1.7804643416920256,1.7804643416920256,0.5549782398391325,0.4649518117849751
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0375,0.1488237384919284,0.0242181448453857,-2.0457622740501944,2.0457622740501957,0.6762987883625953,0.55467695881555
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0375,0.1344388738811833,-0.0319018001653229,-1.7804643416920256,1.7804643416920256,0.5728602281891895,0.5174021158385484
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0375,0.1339645630225768,-0.0227533993050185,-2.0457622740501944,2.0457622740501957,0.677102491260565,0.5937653327954329
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.05,0.1176531757098571,0.0122935211602034,-1.6448536269514729,1.644853626951472,0.5921593528277547,0.4770846227546367
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.05,0.1366638447522835,0.0124981691486385,-1.8595480375228428,1.859548037522842,0.6742186293249354,0.5647165987653504
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.05,0.1258753323628196,0.0107304498092831,-1.6448536269514729,1.6448536269514722,0.5696201367445366,0.4756526936336867
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.05,0.129750276729898,0.0079705810990251,-1.8595480375228428,1.859548037522842,0.6626971487009548,0.5595979259516617
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0625,0.111968100859492,0.0099518730398275,-1.5341205443525463,1.5341205443525463,0.5885055527519357,0.4770350031381101
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0625,0.128849188435233,-0.0199027853967076,-1.7133480229380775,1.7133480229380775,0.6682910836031979,0.6058127787257506
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0625,0.1226806008730118,-0.001284288497021,-1.5341205443525463,1.5341205443525463,0.5592715203893946,0.4859585779150383
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0625,0.1274553370215141,-0.0291655729496911,-1.7133480229380778,1.7133480229380778,0.6501014712215262,0.603872945996126
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.075,0.1254232652829586,-0.0107946161928615,-1.4395314709384563,1.4395314709384563,0.5562236774596896,0.4992422969105277
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.075,0.1486144432375348,-0.0229450987080954,-1.5922214398791406,1.592221439879141,0.6217035401128754,0.6120794010134901
DJI,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.075,0.1163570629285282,-0.0371181249089278,-1.4395314709384566,1.4395314709384566,0.5570934507172085,0.5247787674972065
