tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.5326673085609664,0.1869885070967686,0.5695794110012975,0.2728165537393602,0.0870340626641782,0.0252584683612704,,,,,0.2661980544447772,-0.0552984261281171,0.0071490786796185,0.005408227584559,0.0426632460029412,0.059317987255808,2.2063729569022064,0.7392747864155301,0.0035043023042783,0.0019700504407417,10092,254,127,127,508,254,254,14,14,14,-195.77986100702836,-134.6535792216713,-61.12628178535704,419.5597220140567,297.3071584433426,150.25256357071407,478.7864622801554,346.8298381816021,199.7752433089736,508,254,254,14,14,14,-1094.0770307286082,-562.9324961954073,-531.1445345332008,2216.1540614572164,1153.864992390815,1090.2890690664017,2275.380801723315,1203.3876721290742,1139.8117488046612,508,254,254,14,14,14,898.2971697215798,428.2789169737361,470.0182527478438,-1768.5943394431597,-828.5578339474721,-912.0365054956876,-1709.367599177061,-779.0351542092126,-862.5138257574281,2023-09-21 08:35:19.600750+00:00,2023-09-21 08:36:10.646538+00:00,0 days 00:00:51.045422400,2023-09-21 08:35:19.638782+00:00,2023-09-21 08:35:45.370357+00:00,0 days 00:00:25.731418199
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.533242892660443,0.1986192401114979,0.5711733964343475,0.2799148373465022,0.0852222299198359,0.0266033530022072,,,,,0.3084612650731285,0.234014316523029,0.0097416011687443,0.0081035668002437,,,,,0.0033517233403507,0.0018613970777393,10092,254,127,127,508,254,254,10,6,6,-225.9089096924514,-144.1902519866228,-81.7186577058286,471.8178193849028,300.3805039732456,175.4373154116572,514.1226338606876,321.6045095753568,196.66132101376843,254,127,127,6,4,4,-1102.7683045371805,-566.2012539599812,-536.5670505771991,2217.5366090743605,1140.4025079199623,1081.1341011543982,2238.760614676472,1151.779256265797,1092.5108495002326,254,127,127,4,2,2,876.8593948447289,422.0110019733584,454.8483928713705,-1745.7187896894577,-840.0220039467167,-905.696785742741,-1731.5694526213836,-834.3336297737995,-900.0084115698238,2023-09-21 08:33:13.610672+00:00,2023-09-21 08:33:33.259528+00:00,0 days 00:00:19.648744700,2023-09-21 08:33:13.656713+00:00,2023-09-21 08:33:20.681238+00:00,0 days 00:00:07.024174700
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.7053659019958897,,,0.6853220286452814,0.0433580956732863,0.0462154369355843,,,,,0.2819273968787433,0.1202886996980536,0.006826478204347,0.0067451467400483,0.0480401973812464,0.0419305310817554,2.866258230637808,4.394015059244498,0.0036829262250513,0.0039334746419339,10092,254,127,127,508,254,254,12,6,6,-251.48800621982696,-134.96670114978747,-116.52130507003938,526.9760124396539,281.93340229957494,245.04261014007875,577.7417898105957,303.15740790168616,266.26661574219,508,254,254,12,6,6,-1136.3313103982382,-562.1664506556689,-574.1648597425692,2296.6626207964764,1136.3329013113378,1160.3297194851384,2347.428398167418,1157.556906913449,1181.5537250872496,508,254,254,12,6,6,884.8433041784112,427.1997495058814,457.6435546725298,-1745.6866083568225,-842.3994990117628,-903.2871093450595,-1694.920830985881,-821.1754934096516,-882.0631037429484,2023-09-21 08:33:49.046070+00:00,2023-09-21 08:34:34.186292+00:00,0 days 00:00:45.140189899,2023-09-21 08:33:49.079598+00:00,2023-09-21 08:34:16.406041+00:00,0 days 00:00:27.326421799
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.7318755068704379,,,0.7163678427316937,0.0409841963415509,0.0444439119436571,,,,,0.3084612650731285,0.234014316523029,0.0097416011687443,0.0081035668002437,,,,,0.0033515561641195,0.0035454019658538,10092,254,127,127,508,254,254,8,4,4,-272.2000125511021,-144.6378017843574,-127.56221076674478,560.4000251022042,297.2756035687148,263.1244215334896,594.243876682832,311.42494063678896,277.2737586015637,254,127,127,4,2,2,-1149.059407395831,-566.6488037577158,-582.4106036381153,2306.118814791662,1137.2976075154315,1168.8212072762306,2320.268151859736,1142.9859816883488,1174.5095814491478,254,127,127,4,2,2,876.8593948447289,422.0110019733584,454.8483928713705,-1745.7187896894577,-840.0220039467167,-905.696785742741,-1731.5694526213836,-834.3336297737995,-900.0084115698238,2023-09-21 08:32:43.397755+00:00,2023-09-21 08:33:00.493921+00:00,0 days 00:00:17.095950599,2023-09-21 08:32:43.441793+00:00,2023-09-21 08:32:52.189797+00:00,0 days 00:00:08.747645299
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.5537537494325478,0.2231627514570502,0.5537537494325478,0.2231627514570502,0.0852620386675829,0.0265052495793094,,,,,0.2693126564552614,-0.0546439130095345,0.0070805939384447,0.0054395759567636,0.0408413902020241,0.0623798638522178,2.17400075387767,0.8788640287859958,0.00278854373888,0.00278854373888,10092,254,127,127,508,254,254,12,12,12,-197.2397427527665,-135.2541985317813,-61.98554422098528,418.4794855055329,294.5083970635626,147.97108844197055,469.2452628764747,336.95640826778504,190.419099646193,508,254,254,12,12,12,-1095.6188937547552,-563.4444977626339,-532.1743959921214,2215.2377875095103,1150.8889955252678,1088.3487919842428,2266.003564880452,1193.3370067294902,1130.7968031884652,508,254,254,12,12,12,898.3791510019887,428.1902992308526,470.1888517711361,-1772.7583020039774,-832.3805984617052,-916.3777035422722,-1721.9925246330356,-789.9325872574827,-873.9296923380498,2023-09-21 08:34:34.188293+00:00,2023-09-21 08:35:19.598248+00:00,0 days 00:00:45.410084300,2023-09-21 08:34:34.226326+00:00,2023-09-21 08:35:01.649352+00:00,0 days 00:00:27.423026300
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.5574376426834475,0.2310990822995481,0.5574376426834475,0.2310990822995481,0.0823831637520083,0.0279073505698712,,,,,0.3084612650731285,0.234014316523029,0.0097416011687443,0.0081035668002437,,,,,0.0026432909377125,0.0026432909377125,10092,254,127,127,508,254,254,8,6,6,-227.3289851070953,-144.66795414636135,-82.66103096073391,470.6579702141905,301.3359082927227,177.32206192146782,504.5018217948184,322.5599138948339,198.54606752357904,254,127,127,4,4,4,-1104.188379951824,-566.6789561197197,-537.5094238321044,2216.376759903648,1141.3579122394394,1083.0188476642088,2230.5260969717224,1152.7346605852738,1094.3955960100432,254,127,127,4,2,2,876.8593948447289,422.0110019733584,454.8483928713705,-1745.7187896894577,-840.0220039467167,-905.696785742741,-1731.5694526213836,-834.3336297737995,-900.0084115698238,2023-09-21 08:33:00.496423+00:00,2023-09-21 08:33:13.608171+00:00,0 days 00:00:13.112152199,2023-09-21 08:33:00.538959+00:00,2023-09-21 08:33:05.534745+00:00,0 days 00:00:04.995730500
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.3762562420492352,0.3762562420492352,0.3762562420492352,0.3762562420492352,0.069864126867074,0.069864126867074,,,,,0.1979081001878119,0.1979081001878119,0.0058702884777647,0.0058702884777647,0.0515440574944702,0.0515440574944702,3.3869885587808546,3.3869885587808546,0.0030935939487691,0.0030935939487691,10092,254,127,127,508,254,254,6,6,6,-209.74530431582605,-139.36639807021322,-70.37890624561294,431.4906086316521,290.73279614042644,152.75781249122588,456.873497317123,311.95680174253766,173.9818180933371,508,254,254,6,6,6,-1100.5871397653752,-565.331227239554,-535.2559125258214,2213.1742795307505,1142.662454479108,1082.5118250516427,2238.5571682162213,1163.8864600812192,1103.735830653754,508,254,254,6,6,6,890.8418354495492,425.9648291693408,464.8770062802084,-1769.6836708990984,-839.9296583386815,-917.7540125604168,-1744.3007822136276,-818.7056527365703,-896.5300069583056,2023-09-21 08:33:33.262030+00:00,2023-09-21 08:33:49.044068+00:00,0 days 00:00:15.781745400,2023-09-21 08:33:33.298061+00:00,2023-09-21 08:33:44.198913+00:00,0 days 00:00:10.900716999
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.3818656526811281,0.3818656526811281,0.3818656526811281,0.3818656526811281,0.0723455132799126,0.0723455132799126,,,,,0.2851348508629423,0.2851348508629423,0.0088068278195803,0.0088068278195803,,,,,0.0029533586829717,0.0029533586829717,10092,254,127,127,508,254,254,4,4,4,-237.13644886414045,-148.3537558509788,-88.78269301316175,482.2728977282809,304.7075117019576,185.5653860263235,499.1948235185948,318.8568487700318,199.71472309439764,254,127,127,2,2,2,-1112.6908534644492,-569.7646226588848,-542.9262308055645,2229.3817069288984,1143.5292453177697,1089.852461611129,2236.4563754629357,1149.217619490687,1095.5408357840463,254,127,127,2,2,2,875.5544046003088,421.410866807906,454.1435377924028,-1747.1088092006175,-838.821733615812,-904.2870755848056,-1740.0341406665805,-833.1333594428949,-898.5987014118883,2023-09-21 08:32:36.058960+00:00,2023-09-21 08:32:43.395253+00:00,0 days 00:00:07.336357700,2023-09-21 08:32:36.089487+00:00,2023-09-21 08:32:41.062251+00:00,0 days 00:00:04.972940499
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi,mark,0.0113734429496955,0.0113734429599914,0.5169922766130953,0.1829558535112904,0.5591948694398138,0.2698890451781767,0.0869879050830369,0.025198565614214,,,,,0.263196581079398,-0.0551417225473648,0.0070627328115052,0.0053919377937855,0.0430876562298993,0.0597615177319013,2.186052277720815,0.7355236189399771,0.003412622822096,0.0019439043537947,10092,254,127,127,508,254,254,16,16,16,-195.83621069170897,-134.69904144309112,-61.13716924861785,423.67242138341794,301.39808288618224,154.2743384972357,491.3601245446737,357.9954311584788,210.8716867695323,508,254,254,16,16,16,-1094.121368168463,-562.9668740634494,-531.1544941050137,2220.242736336926,1157.9337481268988,1094.308988210027,2287.930439498182,1214.5310963991951,1150.906336482324,508,254,254,16,16,16,898.2851574767541,428.2678326203583,470.0173248563958,-1764.5703149535082,-824.5356652407165,-908.0346497127916,-1696.8826117922524,-767.9383169684199,-851.437301440495,2023-09-21 08:41:11.216874+00:00,2023-09-21 08:42:14.770892+00:00,0 days 00:01:03.553986200,2023-09-21 08:41:11.259411+00:00,2023-09-21 08:41:42.381108+00:00,0 days 00:00:31.121800600
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,False,bi,unmark,0.0113734429699584,0.0113734429699584,0.520053870616588,0.1940401610827524,0.563088104225421,0.2762176153568218,0.0851925094948391,0.0265204011325735,,,,,0.3084612650731285,0.234014316523029,0.0097416011687443,0.0081035668002437,,,,,0.0032517352252383,0.0018276472339298,10092,254,127,127,508,254,254,12,7,7,-225.97318904891097,-144.23952587378108,-81.73366317512989,475.94637809782193,302.4790517475621,177.46732635025978,526.7121554687637,327.2403916166919,202.22866621938957,254,127,127,8,5,5,-1102.8325838936398,-566.2505278471394,-536.5820560465004,2221.66516778728,1142.5010556942789,1083.1641120930008,2249.963841923428,1156.7219911265718,1097.3850475252937,254,127,127,4,2,2,876.8593948447289,422.0110019733584,454.8483928713705,-1745.7187896894577,-840.0220039467167,-905.696785742741,-1731.5694526213836,-834.3336297737995,-900.0084115698238,2023-09-21 08:38:33.742289+00:00,2023-09-21 08:39:01.056719+00:00,0 days 00:00:27.314454700,2023-09-21 08:38:33.778820+00:00,2023-09-21 08:38:43.130343+00:00,0 days 00:00:09.351237400
