tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi,mark,norm,both,,,10092,9838,0,32791.78132789795,-65583.5626557959,-65583.5626557959,2023-09-23 23:13:11.542928+00:00,2023-09-23 23:13:11.542928+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi,mark,t,both,9.02184343652786,,10092,9838,1,33026.48696446566,-66050.97392893131,-66043.77992121397,2023-09-23 23:13:36.359716+00:00,2023-09-23 23:13:37.506701+00:00,0 days 00:00:01.146924900
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi,unmark,norm,both,,,10092,9838,0,32787.43668613779,-65574.87337227559,-65574.87337227559,2023-09-23 23:14:11.101519+00:00,2023-09-23 23:14:11.101519+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi,unmark,t,both,9.170132512938494,,10092,9838,1,33017.51643274073,-66033.03286548147,-66025.83885776412,2023-09-23 23:14:34.297917+00:00,2023-09-23 23:14:35.321295+00:00,0 days 00:00:01.022974099
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,norm,both,,,10092,9838,0,32674.813192789337,-65349.626385578675,-65349.626385578675,2023-09-23 23:15:07.600985+00:00,2023-09-23 23:15:07.600985+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,norm,left,,,10092,9838,1,32737.67845856488,-65473.35691712976,-65466.1629094124,2023-09-23 23:15:30.062754+00:00,2023-09-23 23:15:30.062754+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,norm,right,,,10092,9838,0,32704.793125731965,-65409.58625146393,-65409.58625146393,2023-09-23 23:15:41.498063+00:00,2023-09-23 23:15:41.498063+00:00,0 days 00:00:00
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,t,both,8.185907739990412,,10092,9838,1,32924.60560121996,-65847.21120243992,-65840.01719472258,2023-09-23 23:15:53.343224+00:00,2023-09-23 23:15:54.511726+00:00,0 days 00:00:01.168766300
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,t,left,6.658134306270837,,10092,9838,0,33086.34699047233,-66172.69398094466,-66172.69398094466,2023-09-23 23:16:26.683824+00:00,2023-09-23 23:16:27.585598+00:00,0 days 00:00:00.901584800
DJI,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0252847041334928,0.0256624559231411,False,False,SLSQP,True,bi_d,mark,t,right,6.392813753587095,,10092,9838,1,33071.52351852129,-66141.04703704258,-66133.85302932523,2023-09-23 23:16:46.308159+00:00,2023-09-23 23:16:47.167396+00:00,0 days 00:00:00.858787699
