tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0125,0.4471959854702735,0.1043041951521395,-2.241402727604945,2.241402727604947,0.519814665672838,0.4573765036155979
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0125,0.412608202708053,0.083245664383653,-2.751523593712945,2.751523593712948,0.6889751240793418,0.581047072769767
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0125,0.4811071522121588,0.0674283460944996,-2.241402727604945,2.241402727604947,0.4864394451944184,0.5172162085532904
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0125,0.4786596272358914,0.0342920152608907,-2.751523593712945,2.751523593712948,0.6041311900908566,0.6568369656760669
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.025,0.3568554333785777,0.1060756226918916,-1.9599639845400545,1.959963984540054,0.4996865989212411,0.4302505599609125
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.025,0.3338253891146718,0.0685514960028337,-2.306004135033371,2.3060041350333704,0.6483806095871782,0.5646083413856988
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.025,0.3829619693485559,0.0833568865738548,-1.9599639845400545,1.9599639845400536,0.4633297168284264,0.4755596340164267
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.025,0.3122233131193889,0.0975060483186947,-2.306004135033371,2.3060041350333704,0.6490812662521351,0.5327431989899527
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0375,0.3091661841968628,0.068133536390544,-1.7804643416920256,1.7804643416920256,0.4946013908145207,0.453880674789031
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0375,0.2922633411550424,0.0712826113987711,-2.0457622740501944,2.0457622740501957,0.6212592967002621,0.5442863239945426
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0375,0.2974880906016334,0.1179756087976641,-1.7804643416920256,1.7804643416920256,0.4965528007300381,0.419513458099802
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0375,0.2753220693662673,0.0581989774846389,-2.0457622740501944,2.0457622740501957,0.6247538433097977,0.5576263520100679
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.05,0.2760910124218078,0.0846140926140894,-1.6448536269514729,1.6448536269514722,0.4949917735877309,0.4272511231490116
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.05,0.2409507073572646,0.0328972179491435,-1.8595480375228428,1.859548037522842,0.648876710673919,0.5861144628899573
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.05,0.2605841549775741,0.0896754413796479,-1.6448536269514729,1.6448536269514722,0.5023080251969029,0.4311722044218978
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.05,0.2509685050876031,0.0535096915101353,-1.8595480375228428,1.859548037522842,0.6135339227695911,0.5520164008390224
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0625,0.2462884172251905,0.0611082629734221,-1.5341205443525463,1.5341205443525463,0.499762682824669,0.4428514015804236
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0625,0.2148405024830402,0.0283215483681806,-1.7133480229380778,1.7133480229380778,0.6566007398871271,0.5891471715068044
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0625,0.2282402799047324,0.0734808519626323,-1.5341205443525463,1.5341205443525463,0.516230143526766,0.4388628086932591
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0625,0.2183684091256157,0.0080353277756186,-1.7133480229380778,1.7133480229380778,0.6286735192416999,0.6121918912833725
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.075,0.2159117441732359,0.0326213931898761,-1.4395314709384563,1.4395314709384563,0.5158710661086537,0.4701138656573178
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.075,0.2010353537724648,0.0075639363898955,-1.5922214398791406,1.592221439879141,0.6535673941248216,0.619473849891963
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.075,0.2139616186300074,0.0415655587001204,-1.4395314709384563,1.4395314709384563,0.5122637401022416,0.4675085070280772
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.075,0.189525804831414,-0.0047240455043305,-1.5922214398791406,1.592221439879141,0.6502384264534269,0.6337225678156276
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0875,0.1821615954304746,0.0166507665075369,-1.3563117453352471,1.3563117453352471,0.5426343666418012,0.4880865233136581
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0875,0.1769194786595974,-0.0033114913300052,-1.488271563486625,1.4882715634866246,0.6735119432209944,0.6381800074123775
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0875,0.1982277063519979,0.0015665735413595,-1.3563117453352471,1.3563117453352471,0.5147153079270136,0.5163597129441077
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0875,0.1772502248936231,-0.0008941710567002,-1.488271563486625,1.4882715634866246,0.6514096828486782,0.628223758958042
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1,0.1722579895175539,0.0073487058315125,-1.2815515655446004,1.2815515655446004,0.5428639992862008,0.4991965963456057
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1,0.1592893242547051,-0.0119187884086089,-1.3968153097434188,1.396815309743419,0.6879338128590025,0.6541601296477695
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1,0.167340075697625,-0.0048386063747117,-1.2815515655446004,1.2815515655446004,0.5410092005640552,0.5256276950336364
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1,0.1561142646158178,-0.0126949456538335,-1.3968153097434188,1.396815309743419,0.6708423359134639,0.6478336220239325
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1125,0.1566443709146559,-0.0069769714543389,-1.213339622488518,1.2133396224885171,0.5531698304291193,0.5194130124297329
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1125,0.1349543684138424,-0.0208076562033944,-1.3148461673777194,1.3148461673777192,0.7206204529067219,0.6728016381838386
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1125,0.1537183277315472,-0.0016217083189194,-1.213339622488518,1.2133396224885171,0.549293430044509,0.5211567109199612
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1125,0.1367420438565111,-0.0246434805154861,-1.3148461673777194,1.3148461673777192,0.6927379545247305,0.6707306449315853
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.125,0.1481102394489564,-0.003919019404334,-1.150349380376008,1.150349380376008,0.5551341316769074,0.5153564376267035
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.125,0.1348339655309068,-0.0200684529006902,-1.2403182607824692,1.2403182607824692,0.711319293094049,0.6724678127399146
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.125,0.1539239519170558,-0.0015724415212699,-1.150349380376008,1.150349380376008,0.5391427287850132,0.5208671694778293
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.125,0.1254618142370719,-0.0313718409362722,-1.2403182607824692,1.2403182607824692,0.7040530267610572,0.6855915340659215
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1375,0.1356592149236409,-0.0110265263417127,-1.0916203674341678,1.0916203674341685,0.5645417901886545,0.5263132072578036
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1375,0.122944165954289,-0.0299742572728682,-1.1717757885842877,1.1717757885842877,0.7244351270860412,0.6944748275990847
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1375,0.1450753257371672,-0.0122165873297601,-1.0916203674341678,1.0916203674341685,0.542169538109698,0.5359647902473893
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1375,0.1178381392138117,-0.0414957015178837,-1.1717757885842877,1.1717757885842877,0.7096343570901922,0.7086668239580679
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.15,0.1231874422562434,-0.0162192333653397,-1.0364333894937898,1.0364333894937898,0.5758668121349295,0.5343419913728776
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.15,0.1141856807456798,-0.0339307898826651,-1.108145444558147,1.1081454445581465,0.7336884744034604,0.7051667005333102
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.15,0.1226522349974011,-0.0193734808081927,-1.0364333894937898,1.0364333894937898,0.5665914588787766,0.5476009077810409
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.15,0.1161674981071069,-0.043498387666212,-1.108145444558147,1.1081454445581465,0.7051239629372654,0.7155382852424534
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1625,0.1151850147024068,-0.0225406295503473,-0.984234960446325,0.984234960446325,0.5817191425050633,0.5452619595367961
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1625,0.1047370763495549,-0.0383678047178501,-1.048612736754834,1.048612736754834,0.7455108160153019,0.7174946077652742
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1625,0.1137577870956988,-0.026146034015601,-0.984234960446325,0.984234960446325,0.573439102893958,0.5590685851864776
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1625,0.1067148431578596,-0.0447875588956281,-1.048612736754834,1.048612736754834,0.7159766708982666,0.7209830572971212
HSI,HKEX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.175,0.1124976255207247,-0.0322011828427728,-0.9345892910734802,0.93458929107348,0.579936388267511,0.5624827217750386
