tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.4497700569020201,0.2279533015741807,0.4979734240031427,0.3435617374587414,0.2478988405132628,0.0309947459521229,,,,,0.2467217891948628,0.1392988283601791,0.0153146538399375,0.0070763970866331,0.0596852266138589,0.1122137705727929,0.5124787736904115,0.2572021509265643,0.0040284580190474,0.0019808104817264,9870,248,124,124,496,248,248,14,14,14,-358.7949046064866,-225.2599114734001,-133.53499313308663,745.5898092129733,478.5198229468002,295.06998626617326,804.4818721871222,527.7078253931099,344.257988712483,496,248,248,14,14,14,-1085.2442182680006,-566.005009673869,-519.2392085941317,2198.488436536001,1160.010019347738,1066.4784171882634,2257.38049951015,1209.198021794048,1115.6664196345732,496,248,248,14,14,14,726.449313661514,340.74509820046893,385.70421546104507,-1424.898627323028,-653.4901964009379,-743.4084309220901,-1366.006564348879,-604.3021939546281,-694.2204284757804,2023-09-21 08:34:57.929659+00:00,2023-09-21 08:35:48.894378+00:00,0 days 00:00:50.964541599,2023-09-21 08:34:57.961187+00:00,2023-09-21 08:35:25.248094+00:00,0 days 00:00:27.286909500
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.4615507704220137,0.2165292742901046,0.4955201823681567,0.3499905506741809,0.2214570405528319,0.0323126506555393,,,,,0.2663371303484562,0.2733810712167296,0.0183218839864054,0.0142913446698812,,,,,0.0040239994410985,0.0019311158369707,9870,248,124,124,496,248,248,10,6,6,-377.96910531075184,-226.28639308772563,-151.6827122230261,775.9382106215037,464.57278617545126,315.3654244460522,818.003969888753,485.6533586524412,336.4459969230421,248,124,124,6,4,4,-1085.7646810260603,-565.2175970877136,-520.5470839383469,2183.529362052121,1138.4351941754271,1049.0941678766935,2204.609934529111,1149.7163204378471,1060.375294139114,248,124,124,4,2,2,707.7955757153087,338.931203999988,368.8643717153208,-1407.5911514306174,-673.8624079999759,-733.7287434306415,-1393.5374364459574,-668.2218448687657,-728.0881802994314,2023-09-21 08:33:14.334793+00:00,2023-09-21 08:33:33.554782+00:00,0 days 00:00:19.220123500,2023-09-21 08:33:14.376329+00:00,2023-09-21 08:33:21.128122+00:00,0 days 00:00:06.751762299
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.574744528487316,,,0.6030672638255337,0.1341482619122054,0.052829358190538,,,,,0.2502482784092328,0.2763686629431185,0.0162500552106287,0.0142428258772103,0.0449017204208339,,0.0790589601710345,0.3954819283938514,0.0053156933939085,0.0049616592021808,9870,248,124,124,496,248,248,12,6,6,-458.0363504542689,-231.1459874265564,-226.8903630277125,940.072700908538,474.2919748531128,465.780726055425,990.551612029237,495.3725473301028,486.8612985324149,496,248,248,12,6,6,-1166.7149911627112,-570.9605974240476,-595.7543937386636,2357.4299823254223,1153.9211948480952,1203.5087874773271,2407.908893446121,1175.001767325085,1224.589359954317,496,248,248,12,6,6,708.6786407084422,339.8146099974912,368.8640307109511,-1393.3572814168845,-667.6292199949823,-725.7280614219021,-1342.8783702961853,-646.5486475179924,-704.6474889449122,2023-09-21 08:33:46.365270+00:00,2023-09-21 08:34:19.127374+00:00,0 days 00:00:32.761989800,2023-09-21 08:33:46.411810+00:00,2023-09-21 08:34:04.495324+00:00,0 days 00:00:18.083484399
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.5829508881555869,,,0.6095396071373438,0.1250780517408879,0.0527792092295198,,,,,0.2663371303484562,0.2733810712167296,0.0183218839864054,0.0142913446698812,,,,,0.0052131138980551,0.0048807549107832,9870,248,124,124,496,248,248,8,4,4,-459.8630626191722,-231.99608683669703,-227.8669757824753,935.7261252383444,471.99217367339406,463.7339515649505,969.3787326521438,486.045888658054,477.7876665496104,248,124,124,4,2,2,-1167.6586383344809,-570.927290836685,-596.731347497796,2343.3172766689618,1145.85458167337,1197.462694995592,2357.370991653622,1151.49514480458,1203.103258126802,248,124,124,4,2,2,707.7955757153087,338.931203999988,368.8643717153208,-1407.5911514306174,-673.8624079999759,-733.7287434306415,-1393.5374364459574,-668.2218448687657,-728.0881802994314,2023-09-21 08:32:45.016144+00:00,2023-09-21 08:33:00.711107+00:00,0 days 00:00:15.694908499,2023-09-21 08:32:45.059180+00:00,2023-09-21 08:32:52.510073+00:00,0 days 00:00:07.450933399
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.4679920248039857,0.3060122977069652,0.4679920248039857,0.3060122977069652,0.2554216394070419,0.0288536708522752,,,,,0.248837464660648,0.139013570833794,0.0153345977457611,0.0071466680134516,0.0539011263281236,0.1196531354099027,0.5108285600953428,0.2366214800404251,0.0028249459686131,0.0028249459686131,9870,248,124,124,496,248,248,12,12,12,-361.1407223151471,-226.4166648284996,-134.72405748664744,746.2814446302941,476.8333296569992,293.4481149732949,796.7603557509933,518.9944746109791,335.60925992727465,496,248,248,12,12,12,-1087.6962083042242,-567.0915472521266,-520.6046610520976,2199.3924166084485,1158.1830945042532,1065.2093221041953,2249.871327729148,1200.344239458233,1107.370467058175,496,248,248,12,12,12,726.5554859890772,340.67488242362697,385.8806035654502,-1429.1109719781543,-657.3497648472539,-747.7612071309004,-1378.6320608574551,-615.1886198932741,-705.6000621769206,2023-09-21 08:34:19.128875+00:00,2023-09-21 08:34:57.926657+00:00,0 days 00:00:38.797678599,2023-09-21 08:34:19.162404+00:00,2023-09-21 08:34:40.563262+00:00,0 days 00:00:21.401252099
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.4745973063136873,0.3059408557697754,0.4745973063136873,0.3059408557697754,0.2281326222362951,0.0284075567233594,,,,,0.2663371303484562,0.2733810712167296,0.0183218839864054,0.0142913446698812,,,,,0.0027432729739567,0.0027432729739567,9870,248,124,124,496,248,248,8,6,6,-380.4776950428612,-227.44022837833188,-153.03746666452923,776.9553900857225,466.88045675666376,318.07493332905847,810.6079974995218,487.9610292336537,339.1555058060484,248,124,124,4,4,4,-1088.27327075817,-566.3714323783198,-521.90183837985,2184.54654151634,1140.7428647566396,1051.8036767597,2198.600256501,1152.0239910190598,1063.0848030221202,248,124,124,4,2,2,707.7955757153087,338.931203999988,368.8643717153208,-1407.5911514306174,-673.8624079999759,-733.7287434306415,-1393.5374364459574,-668.2218448687657,-728.0881802994314,2023-09-21 08:33:00.714109+00:00,2023-09-21 08:33:14.332291+00:00,0 days 00:00:13.618512699,2023-09-21 08:33:00.759648+00:00,2023-09-21 08:33:06.215829+00:00,0 days 00:00:05.456157500
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.3513390915533566,0.3513390915533566,0.3513390915533566,0.3513390915533566,0.1395574593228132,0.1395574593228132,,,,,0.2326171561450843,0.2326171561450843,0.0106011799354509,0.0106011799354509,0.116812477093098,0.116812477093098,0.7619086433742753,0.7619086433742753,0.003716522711166,0.003716522711166,9870,248,124,124,496,248,248,6,6,6,-394.0105642468645,-243.34147344928977,-150.66909079757477,800.0211284937291,498.68294689857953,313.33818159514954,825.2605840540787,519.7635193755694,334.41875407213945,496,248,248,6,6,6,-1110.295069395586,-580.7205530281822,-529.5745163674037,2232.590138791172,1173.4411060563643,1071.1490327348074,2257.8295943515213,1194.521678533354,1092.2296052117972,496,248,248,6,6,6,716.2845051487213,337.3790795788924,378.90542556982894,-1420.569010297443,-662.7581591577848,-745.8108511396579,-1395.329554737093,-641.6775866807949,-724.730278662668,2023-09-21 08:33:33.557783+00:00,2023-09-21 08:33:46.363268+00:00,0 days 00:00:12.805607600,2023-09-21 08:33:33.603823+00:00,2023-09-21 08:33:41.736299+00:00,0 days 00:00:08.132785299
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.3608254636452244,0.3608254636452244,0.3608254636452244,0.3608254636452244,0.1229154216563537,0.1229154216563537,,,,,0.2720408528275281,0.2720408528275281,0.0162248603565502,0.0162248603565502,,,,,0.0034793634088693,0.0034793634088693,9870,248,124,124,496,248,248,4,4,4,-405.8032898705253,-243.50304062672967,-162.30024924379552,819.6065797410506,495.00608125345934,332.60049848759104,836.4328834479503,509.0597962381193,346.65421347225094,248,124,124,2,2,2,-1112.40534028227,-581.8624291562975,-530.5429111259723,2228.81068056454,1167.724858312595,1065.0858222519446,2235.8375380568696,1173.365421443805,1070.7263853831546,248,124,124,2,2,2,706.6020504117446,338.3593885295678,368.2426618821768,-1409.2041008234892,-672.7187770591356,-732.4853237643536,-1402.1772433311592,-667.0782139279255,-726.8447606331434,2023-09-21 08:32:38.762779+00:00,2023-09-21 08:32:45.013141+00:00,0 days 00:00:06.250762800,2023-09-21 08:32:38.792304+00:00,2023-09-21 08:32:42.688648+00:00,0 days 00:00:03.896182799
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi,mark,0.0113524759190352,0.0113524759059319,0.4357345668908921,0.2223674468789513,0.4899837786933343,0.339027510814652,0.2477239828838032,0.0307568975743336,,,,,0.2451777499379321,0.1389417881059722,0.0152105401638434,0.0070592992942086,0.0609984010444311,0.1135592887425563,0.5099376509572137,0.2563429333306981,0.0038813886583582,0.0019411452096265,9870,248,124,124,496,248,248,16,16,16,-358.87710033109715,-225.3272707747493,-133.54982955634773,749.7542006621943,482.6545415494986,299.09965911269546,817.0594154897932,538.8694014881384,355.3145190513352,496,248,248,16,16,16,-1085.3224237388004,-566.0663471381806,-519.2560766006196,2202.6448474776007,1164.1326942763612,1070.5121532012392,2269.9500623051995,1220.3475542150009,1126.7270131398789,496,248,248,16,16,16,726.4453234077032,340.7390763634313,385.7062470442719,-1420.8906468154064,-649.4781527268626,-739.4124940885438,-1353.5854319878076,-593.2632927882229,-683.197634149904,2023-09-21 08:40:45.810579+00:00,2023-09-21 08:41:48.269158+00:00,0 days 00:01:02.458211700,2023-09-21 08:40:45.850614+00:00,2023-09-21 08:41:16.812174+00:00,0 days 00:00:30.961647599
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi,unmark,0.0113524760715771,0.0113524760715771,0.4476556913167761,0.2112191991837129,0.4883392297444427,0.3451033285662518,0.2213217960262894,0.0320528255350931,,,,,0.2663371303484562,0.2733810712167296,0.0183218839864054,0.0142913446698812,,,,,0.0038726146430073,0.0018908393713209,9870,248,124,124,496,248,248,12,7,7,-378.0541105189688,-226.35037036623544,-151.7037401527333,780.1082210379375,466.7007407324709,317.4074803054666,830.5871321586367,491.29474195562574,342.00148152862147,248,124,124,8,5,5,-1085.8496862342774,-565.2815743662234,-520.5681118680541,2187.699372468555,1140.5631487324467,1051.136223736108,2215.806802437875,1154.664556560472,1065.2376315641334,248,124,124,4,2,2,707.7955757153087,338.931203999988,368.8643717153208,-1407.5911514306174,-673.8624079999759,-733.7287434306415,-1393.5374364459574,-668.2218448687657,-728.0881802994314,2023-09-21 08:38:33.534610+00:00,2023-09-21 08:39:01.184329+00:00,0 days 00:00:27.649676599,2023-09-21 08:38:33.579148+00:00,2023-09-21 08:38:43.418090+00:00,0 days 00:00:09.839038799
