tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,mark,norm,both,,,9870,9622,0,27348.3463535388,-54696.6927070776,-54696.6927070776,2023-09-23 23:13:15.981235+00:00,2023-09-23 23:13:15.981235+00:00,0 days 00:00:00
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,mark,t,both,8.493561004037645,,9870,9622,1,27642.20694026336,-55282.41388052672,-55275.24207310446,2023-09-23 23:13:33.898605+00:00,2023-09-23 23:13:35.270782+00:00,0 days 00:00:01.371802099
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,unmark,norm,both,,,9870,9622,0,27349.255118946967,-54698.510237893934,-54698.510237893934,2023-09-23 23:14:02.666283+00:00,2023-09-23 23:14:02.666283+00:00,0 days 00:00:00
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,unmark,t,both,8.719390943395641,,9870,9622,1,27632.462936096705,-55262.92587219341,-55255.75406477115,2023-09-23 23:14:21.150640+00:00,2023-09-23 23:14:22.368684+00:00,0 days 00:00:01.218292700
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,norm,both,,,9870,9622,0,27194.00003024446,-54388.00006048892,-54388.00006048892,2023-09-23 23:14:50.372706+00:00,2023-09-23 23:14:50.372706+00:00,0 days 00:00:00
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,norm,left,,,9870,9622,1,27271.525281828555,-54541.05056365711,-54533.87875623485,2023-09-23 23:15:08.287074+00:00,2023-09-23 23:15:08.287074+00:00,0 days 00:00:00
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,norm,right,,,9870,9622,0,27202.155549832787,-54404.311099665574,-54404.311099665574,2023-09-23 23:15:16.765847+00:00,2023-09-23 23:15:16.765847+00:00,0 days 00:00:00
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,t,both,5.359243570208525,,9870,9622,1,27720.814282121733,-55439.62856424347,-55432.45675682121,2023-09-23 23:15:26.307532+00:00,2023-09-23 23:15:27.056175+00:00,0 days 00:00:00.748636
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,t,left,4.627349870182247,,9870,9622,0,27926.66157077457,-55853.32314154914,-55853.32314154914,2023-09-23 23:15:51.536674+00:00,2023-09-23 23:15:52.577067+00:00,0 days 00:00:01.040330
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,t,right,4.317593523435151,,9870,9622,1,27924.783591875886,-55847.56718375177,-55840.395376329514,2023-09-23 23:16:06.952398+00:00,2023-09-23 23:16:08.135413+00:00,0 days 00:00:01.182934500
