tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,mark,,,0.0574342764606597,0.0721032684240805,0.0627481531903609,0.0660779682664496,0.0519185260054404,0.0130608093900253,,,,,0.100927005198976,0.0956424964897695,0.0025159161233811,0.001626963125063,0.0366868843062183,0.0263430908607923,0.3182861179446775,0.3183356549784478,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi,unmark,,,0.0589185704806053,0.0745432871752214,0.0668631810099806,0.0684810946761598,0.0497924722745918,0.0144003000469352,,,,,0.1012228061794388,0.1205136138809012,0.0024408820192693,0.0021204748188154,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,mark,,,0.060282591047672,,,0.06373744422859,0.0353064507301321,0.0138338047493184,,,,,0.100203525487645,0.1204910947053254,0.002747886791835,0.0020923131802951,0.0404973706392832,,0.2068534032229078,0.4126319398509148,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,bi_d,unmark,,,0.0584819282517012,,,0.0625241204223883,0.0307501954732013,0.0131896070091313,,,,,0.1012228061794388,0.1205136138809012,0.0024408820192693,0.0021204748188154,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci,mark,,,0.0463208869953211,0.0544923389362198,0.0463208869953211,0.0544923389362198,0.0526551361065269,0.012214503161995,,,,,0.09933206148356,0.0953735989706653,0.0025264707267621,0.0016350511611053,0.0339312317180815,0.0280521061863913,0.3135417167835359,0.3049984022549765,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci,unmark,,,0.0493596163681384,0.0558035173518949,0.0493596163681384,0.0558035173518949,0.0520962224866486,0.0131366152761402,,,,,0.1012228061794388,0.1205136138809012,0.0024408820192693,0.0021204748188154,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci_s,mark,,,0.019626040118003,0.019626040118003,0.019626040118003,0.019626040118003,0.0201172757603821,0.0201172757603821,,,,,0.0744793526235588,0.0744793526235588,0.0014866040898945,0.0014866040898945,0.0296151344461289,0.0296151344461289,0.4118873612870706,0.4118873612870706,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,True,ci_s,unmark,,,0.0187500632030974,0.0187500632030974,0.0187500632030974,0.0187500632030974,0.0179408309550712,0.0179408309550712,,,,,0.0775825828061116,0.0775825828061116,0.0016015641408997,0.0016015641408997,,,,,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi,mark,0.0026184598883455,0.002834911109943,0.0673578338006547,0.0736980931909257,0.0771641919210833,0.0716250702861534,0.052501876959105,0.0132677489842814,,,,,0.1011499902023905,0.1059952125564588,0.0025190465855171,0.001716240008784,0.038678785910431,0.0284142559944413,0.3308719793837344,0.3709207675528844,,
HSI,HKEX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0438738100491172,0.0418718409448042,False,False,SLSQP,False,bi,unmark,0.0025828521930239,0.0027748440474754,0.0679950358907861,0.0748370323257277,0.0791740442002156,0.0734396468607174,0.0500745291272616,0.0143359306858205,,,,,0.1012228061794388,0.1205136138809012,0.0024408820192693,0.0021204748188154,,,,,,
