tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.4664045312783709,0.3331130004003262,0.5230676933770948,0.38033816969992,0.1257098306550536,0.0047583089214233,,,,,0.1747770916641024,0.1834848974371836,0.0089495280502312,0.0058146752741945,0.0164585339781096,0.0479508454254706,0.4125860310067159,,0.0025060308540162,0.0012074267115373,11602,292,146,146,584,292,292,14,14,14,-310.551605990348,-188.09118627960856,-122.46041971073952,649.103211980696,404.18237255921713,272.92083942147906,710.2818257402912,455.6569257909731,324.39539265323504,584,292,292,14,14,14,-1348.321254373555,-695.0324383029724,-653.2888160705825,2724.64250874711,1418.0648766059448,1334.577632141165,2785.821122506705,1469.5394298377007,1386.0521853729208,584,292,292,14,14,14,1037.769648383207,506.9412520233639,530.8283963598429,-2047.5392967664136,-985.8825040467276,-1033.656792719686,-1986.3606830068184,-934.4079508149716,-982.18223948793,2023-09-17 06:20:01.348051+00:00,2023-09-17 06:20:43.188536+00:00,0 days 00:00:41.840562299,2023-09-17 06:20:01.383081+00:00,2023-09-17 06:20:24.262759+00:00,0 days 00:00:22.879646699
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.469959754971714,0.3284994459284068,0.5383307715919663,0.3630709188239916,0.1224195600884623,0.0046608826966641,,,,,0.1880271824609827,0.2644080380100737,0.0094769614588622,0.0076283053911475,,,,,0.0025192599887484,0.0012324788698005,11602,292,146,146,584,292,292,10,6,6,-316.8944010247312,-190.00215701261413,-126.8922440121172,653.7888020494624,392.00431402522827,265.7844880242344,697.4878118777447,414.064836838838,287.8450108378441,292,146,146,6,4,4,-1350.9090822427029,-696.7481972277362,-654.1608850149668,2713.8181644854058,1401.4963944554725,1316.3217700299335,2735.8786872990154,1413.430820942306,1328.256196516767,292,146,146,4,2,2,1034.0146812179717,506.7460402151221,527.2686410028496,-2060.0293624359438,-1009.4920804302442,-1050.5372820056991,-2045.32234722687,-1003.5248671868276,-1044.5700687622823,2023-09-17 06:18:22.024126+00:00,2023-09-17 06:18:39.378052+00:00,0 days 00:00:17.353914600,2023-09-17 06:18:22.055152+00:00,2023-09-17 06:18:28.069826+00:00,0 days 00:00:06.014430199
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.5822673527645683,,,0.6850195652814275,0.0784333202691336,0.0197766354791738,,,,,0.1965814917062651,0.2718153196350576,0.0087076239514671,0.0063942568533685,0.0207453855124878,0.0540998712647089,0.3264141721496734,1.3519020142891311,0.0052216580904428,0.0039372554339821,11602,292,146,146,584,292,292,12,6,6,-391.5282206129832,-194.61512734030703,-196.9130932726761,807.0564412259664,401.23025468061405,405.8261865453521,859.4952530199051,423.2907774942237,427.8867093589618,584,292,292,12,6,6,-1425.9402970398896,-701.5880151902345,-724.3522818496551,2875.8805940797797,1415.176030380469,1460.7045636993105,2928.319405873718,1437.2365531940786,1482.76508651292,584,292,292,12,6,6,1034.4120764269064,506.9728878499275,527.4391885769791,-2044.8241528538128,-1001.945775699855,-1042.878377153958,-1992.385341059874,-979.8852528862452,-1020.8178543403484,2023-09-17 06:18:51.216233+00:00,2023-09-17 06:19:27.264736+00:00,0 days 00:00:36.048269,2023-09-17 06:18:51.250762+00:00,2023-09-17 06:19:11.087824+00:00,0 days 00:00:19.837005599
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.5864306868224264,,,0.7136329164105439,0.0764075984732459,0.0185925906719709,,,,,0.1880271824609827,0.2644080380100737,0.0094769614588622,0.0076283053911475,,,,,0.0051696164147196,0.0035795885448682,11602,292,146,146,584,292,292,8,4,4,-397.12816808942944,-196.1058038020764,-201.02236428735307,810.2563361788589,400.21160760415273,410.0447285747061,845.2155440414847,414.91862281322585,424.75174378377926,292,146,146,4,2,2,-1431.142849307401,-702.8518440171985,-728.2910052902026,2870.285698614802,1409.703688034397,1460.5820105804053,2884.9927138238754,1415.6709012778135,1466.549223823822,292,146,146,4,2,2,1034.0146812179717,506.7460402151221,527.2686410028496,-2060.0293624359438,-1009.4920804302442,-1050.5372820056991,-2045.32234722687,-1003.5248671868276,-1044.5700687622823,2023-09-17 06:17:55.503816+00:00,2023-09-17 06:18:08.449951+00:00,0 days 00:00:12.945867100,2023-09-17 06:17:55.549356+00:00,2023-09-17 06:18:01.113141+00:00,0 days 00:00:05.563510899
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.496151881705921,0.3668281300827629,0.496151881705921,0.3668281300827629,0.1246003385576215,0.0043442632855174,,,,,0.1748082538026869,0.1834522041095628,0.0089394328246321,0.0058068852973811,0.0155951594097479,0.0508170311009286,0.4167575331120745,,0.0017127498526414,0.0017127498526414,11602,292,146,146,584,292,292,12,12,12,-311.6053387521058,-188.3905696630152,-123.21476908909062,647.2106775042116,400.7811393260304,270.42953817818125,699.6494892981503,444.9021849532497,314.5505838054006,584,292,292,12,12,12,-1349.370761397206,-695.3292175309925,-654.0415438662135,2722.741522794412,1414.658435061985,1332.083087732427,2775.180334588351,1458.7794806892043,1376.2041333596464,584,292,292,12,12,12,1037.7654226451002,506.93864786797735,530.8267747771229,-2051.5308452902004,-989.8772957359548,-1037.6535495542455,-1999.0920334962616,-945.7562501087352,-993.5325039270264,2023-09-17 06:19:27.266738+00:00,2023-09-17 06:20:01.345549+00:00,0 days 00:00:34.078850700,2023-09-17 06:19:27.302770+00:00,2023-09-17 06:19:47.595723+00:00,0 days 00:00:20.292866099
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.5064842570050195,0.3541316247058814,0.5064842570050195,0.3541316247058814,0.1209556187390479,0.0042464741827659,,,,,0.1880271824609827,0.2644080380100737,0.0094769614588622,0.0076283053911475,,,,,0.0017423014786137,0.0017423014786137,11602,292,146,146,584,292,292,8,6,6,-318.0206969485657,-190.3330300040856,-127.68766694448004,652.0413938971315,392.6660600081712,267.3753338889601,687.0006017597573,414.7265828217808,289.43585670256977,292,146,146,4,4,4,-1352.0353781665374,-697.0790702192077,-654.9563079473296,2712.0707563330748,1402.158140438415,1317.9126158946592,2726.777771542148,1414.0925669252488,1329.8470423814929,292,146,146,4,2,2,1034.0146812179717,506.7460402151221,527.2686410028496,-2060.0293624359438,-1009.4920804302442,-1050.5372820056991,-2045.32234722687,-1003.5248671868276,-1044.5700687622823,2023-09-17 06:18:08.452454+00:00,2023-09-17 06:18:22.022624+00:00,0 days 00:00:13.570313100,2023-09-17 06:18:08.486983+00:00,2023-09-17 06:18:14.688817+00:00,0 days 00:00:06.201507300
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.3227526826848336,0.3227526826848336,0.3227526826848336,0.3227526826848336,0.1079613004703805,0.1079613004703805,,,,,0.2186718524664536,0.2186718524664536,0.0071045612499677,0.0071045612499677,0.0398435467020527,0.0398435467020527,0.7187123910318799,0.7187123910318799,0.0044311829328791,0.0044311829328791,11602,292,146,146,584,292,292,6,6,6,-342.82927364361126,-196.9792577611143,-145.85001588249702,697.6585472872225,405.9585155222286,303.70003176499404,723.8779531841919,428.0190383358383,325.7605545786037,584,292,292,6,6,6,-1378.7941189260075,-703.6259634169688,-675.1681555090389,2769.5882378520155,1419.2519268339377,1362.3363110180778,2795.807643748985,1441.3124496475473,1384.3968338316874,584,292,292,6,6,6,1035.9648452823965,506.6467056558545,529.3181396265419,-2059.929690564793,-1001.2934113117092,-1046.6362792530838,-2033.7102846678235,-979.2328884980992,-1024.5757564394742,2023-09-17 06:18:39.380053+00:00,2023-09-17 06:18:51.214731+00:00,0 days 00:00:11.834750200,2023-09-17 06:18:39.417086+00:00,2023-09-17 06:18:47.007114+00:00,0 days 00:00:07.589789800
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.3266137292873463,0.3266137292873463,0.3266137292873463,0.3266137292873463,0.1056509871794834,0.1056509871794834,,,,,0.2263623603963118,0.2263623603963118,0.0085225408723243,0.0085225408723243,,,,,0.0043346567678163,0.0043346567678163,11602,292,146,146,584,292,292,4,4,4,-350.53197740873475,-200.01521164366773,-150.5167657650671,709.0639548174695,408.03042328733545,309.03353153013427,726.5435587487824,422.7374384964086,323.7405467392074,292,146,146,2,2,2,-1383.814244407462,-706.4010085766046,-677.4132358308574,2771.628488814924,1416.8020171532091,1358.8264716617148,2778.9819964194603,1422.7692303966255,1364.7936849051314,292,146,146,2,2,2,1033.2822669987272,506.3857969329368,526.8964700657903,-2062.5645339974544,-1008.7715938658736,-1049.7929401315805,-2055.211026392918,-1002.804380622457,-1043.825726888164,2023-09-17 06:17:49.647781+00:00,2023-09-17 06:17:55.501815+00:00,0 days 00:00:05.853902099,2023-09-17 06:17:49.676806+00:00,2023-09-17 06:17:53.357471+00:00,0 days 00:00:03.680501500
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,False,bi,mark,0.0105957643333113,0.0105957643333113,0.4511848349053964,0.3256398171250342,0.5143074788266653,0.3752638818312525,0.1256428999141357,0.0047291340815568,,,,,0.1736909831352079,0.1834609984468143,0.0088903992920148,0.0058140482959802,0.0168620394941154,0.0486913305832704,0.4110743334243462,,0.0023647133920903,0.0011700758381169,11602,292,146,146,584,292,292,16,16,16,-310.75634139464955,-188.2272951384939,-122.52904625615588,653.5126827892991,408.4545902769878,277.05809251231176,723.4310985145507,467.2826511132803,335.88615334860424,584,292,292,16,16,16,-1348.5194441276917,-695.1610839720094,-653.3583601556825,2729.0388882553834,1422.3221679440187,1338.716720311365,2798.957303980635,1481.1502287803112,1397.5447811476574,584,292,292,16,16,16,1037.7631027330422,506.93378883351545,530.8293138995266,-2043.5262054660843,-981.8675776670308,-1029.6586277990532,-1973.607789740833,-923.0395168307384,-970.8305669627608,2023-09-17 06:25:25.817114+00:00,2023-09-17 06:26:18.791675+00:00,0 days 00:00:52.974931500,2023-09-17 06:25:25.854146+00:00,2023-09-17 06:25:53.124099+00:00,0 days 00:00:27.269697399
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,False,bi,unmark,0.0105957643333113,0.0105957643333113,0.4550154146295224,0.3209803845716269,0.5296385133975235,0.357842206734778,0.1223659719647681,0.0046331518962872,,,,,0.1880271824609827,0.2644080380100737,0.0094769614588622,0.0076283053911475,,,,,0.0023734957213363,0.001192227772432,11602,292,146,146,584,292,292,12,7,7,-317.1082477429509,-190.14373030744585,-126.96451743550516,658.2164954859018,394.2874606148917,267.92903487101034,710.6553072798405,420.0247372307696,293.66631148688833,292,146,146,8,5,5,-1351.1229289609223,-696.8897705225679,-654.2331584383547,2718.245857921845,1403.7795410451358,1318.4663168767097,2747.6598883399915,1418.6975741536776,1333.3843499852512,292,146,146,4,2,2,1034.0146812179717,506.7460402151221,527.2686410028496,-2060.0293624359438,-1009.4920804302442,-1050.5372820056991,-2045.32234722687,-1003.5248671868276,-1044.5700687622823,2023-09-17 06:23:23.910266+00:00,2023-09-17 06:23:47.956948+00:00,0 days 00:00:24.046362400,2023-09-17 06:23:23.951802+00:00,2023-09-17 06:23:31.854098+00:00,0 days 00:00:07.902099300
