tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi,mark,norm,both,,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi,mark,t,both,0.126848686725505,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi,unmark,norm,both,,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi,unmark,t,both,0.1271478198572344,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,norm,both,,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,norm,left,,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,norm,right,,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,t,both,0.1071082653706775,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,t,left,0.0614550072710013,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,mark,t,right,0.0587734927290223,
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,bi_d,unmark,norm,both,,
