tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,T,N_M,N_M_1,N_M_2,meta_res_start,meta_res_end,meta_res_delta
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,True,11602,292,146,146,2023-09-17 06:17:49.429092+00:00,2023-09-17 06:20:43.192539+00:00,0 days 00:02:53.763229900
NKX,TSX,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0311129441005638,0.0292752862425572,False,False,SLSQP,False,11602,292,146,146,2023-09-17 06:22:34.831055+00:00,2023-09-17 06:26:18.793677+00:00,0 days 00:03:43.962552800
NKX,TSX,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0246344935866354,0.0227827775868694,False,False,SLSQP,True,11602,582,291,291,2023-09-17 06:28:32.111838+00:00,2023-09-17 06:34:43.255543+00:00,0 days 00:06:11.143854199
NKX,TSX,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0246344935866354,0.0227827775868694,False,False,SLSQP,False,11602,582,291,291,2023-09-17 06:37:15.572546+00:00,2023-09-17 06:45:04.896192+00:00,0 days 00:07:49.323776799
NKX,TSX,1959-10-02,2008-09-01,0.0375,0.0375,left,right,0.0,0.0,-0.0210850434372125,0.0196020033015927,False,False,SLSQP,True,11602,872,436,436,2023-09-17 06:47:45.686983+00:00,2023-09-17 06:57:01.515028+00:00,0 days 00:09:15.828044900
NKX,TSX,1959-10-02,2008-09-01,0.0375,0.0375,left,right,0.0,0.0,-0.0210850434372125,0.0196020033015927,False,False,SLSQP,False,11602,872,436,436,2023-09-17 07:00:20.392074+00:00,2023-09-17 07:12:09.099604+00:00,0 days 00:11:48.707532100
NKX,TSX,1959-10-02,2008-09-01,0.05,0.05,left,right,0.0,0.0,-0.0184605038874021,0.0175712412416522,False,False,SLSQP,True,11602,1162,581,581,2023-09-17 07:15:38.955094+00:00,2023-09-17 07:28:22.277096+00:00,0 days 00:12:43.322041800
NKX,TSX,1959-10-02,2008-09-01,0.05,0.05,left,right,0.0,0.0,-0.0184605038874021,0.0175712412416522,False,False,SLSQP,False,11602,1162,581,581,2023-09-17 07:32:32.625411+00:00,2023-09-17 07:48:41.419632+00:00,0 days 00:16:08.793841700
NKX,TSX,1959-10-02,2008-09-01,0.0625,0.0625,left,right,0.0,0.0,-0.0163776745413061,0.0159293953515138,False,False,SLSQP,True,11602,1452,726,726,2023-09-17 07:53:39.826279+00:00,2023-09-17 08:10:09.708138+00:00,0 days 00:16:29.881510700
NKX,TSX,1959-10-02,2008-09-01,0.0625,0.0625,left,right,0.0,0.0,-0.0163776745413061,0.0159293953515138,False,False,SLSQP,False,11602,1452,726,726,2023-09-17 08:15:00.583808+00:00,2023-09-17 08:36:28.203738+00:00,0 days 00:21:27.620253400
