tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0125,0.2785168845121267,0.2236031009460246,-2.241402727604945,2.241402727604947,0.4618268144343143,0.5775734467299294
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0125,0.2519487821403725,0.2325855220770908,-2.751523593712945,2.751523593712948,0.6734144803646848,0.7033182172626675
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0125,0.2831502069715019,0.2045366131889018,-2.241402727604945,2.241402727604947,0.4544300314072562,0.5807909434015108
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0125,0.3465790181136228,0.182723693331758,-2.751523593712945,2.7515235937129474,0.5435251416324087,0.7336307818925626
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.025,0.200161757846615,0.3231150152371462,-1.9599639845400545,1.959963984540054,0.4843538924942235,0.4090123187267918
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.025,0.2059088047395716,0.3345392586158946,-2.306004135033371,2.3060041350333704,0.6164918139687607,0.4711272134208738
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.025,0.1745916330784716,0.2249863568934529,-1.9599639845400545,1.959963984540054,0.5168530617293998,0.4984453551768759
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.025,0.2198723707783621,0.2399005982954851,-2.306004135033371,2.3060041350333704,0.5888683412633946,0.5795316816092999
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0375,0.1444569141632789,0.2898428441290871,-1.7804643416920256,1.7804643416920256,0.51720373982518,0.3838975426576531
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0375,0.1397490695517163,0.2643374609685769,-2.0457622740501944,2.0457622740501957,0.6679819576055737,0.4685582599407522
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0375,0.1687650198812333,0.2600031697009651,-1.7804643416920256,1.7804643416920256,0.4955875647436611,0.4191509514825969
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0375,0.174026149016657,0.2535581895449068,-2.0457622740501944,2.0457622740501957,0.6026947015910069,0.4945971305214995
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.05,0.1056047064459904,0.2022335736562885,-1.6448536269514726,1.6448536269514722,0.5536542128369882,0.4231234693054498
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.05,0.1242570024376651,0.1667560385536221,-1.8595480375228428,1.859548037522842,0.6704971483336208,0.5309142792923607
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.05,0.1300395265893528,0.242711095162769,-1.6448536269514729,1.6448536269514722,0.5244403154555515,0.3960563386345589
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.05,0.1410796815478424,0.2209903092963841,-1.8595480375228428,1.859548037522842,0.6224080917249537,0.4836329476658245
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0625,0.0900531504820277,0.1857980620841123,-1.5341205443525463,1.5341205443525463,0.5661085990840105,0.4176708649882129
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0625,0.10834910592865,0.1368577608957542,-1.7133480229380778,1.7133480229380778,0.6813299704906823,0.5451832990469991
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0625,0.1164647716444652,0.187950288396814,-1.5341205443525463,1.5341205443525463,0.52934653396234,0.4179742040051879
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0625,0.1183536091712964,0.169703533502579,-1.7133480229380775,1.7133480229380775,0.638729505886201,0.5097833869923191
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.075,0.0820710895669867,0.1786387303539797,-1.439531470938456,1.439531470938456,0.569832408544715,0.4077070268849684
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.075,0.0907357456015656,0.1142220177372546,-1.5922214398791406,1.592221439879141,0.699568286158089,0.5580054166023135
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.075,0.1013342242524553,0.1624866615828511,-1.4395314709384563,1.4395314709384563,0.5392486045952486,0.425913574982539
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.075,0.0958099068704587,0.1409855791258626,-1.5922214398791406,1.5922214398791408,0.6635907997283303,0.5225743522803827
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0875,0.0816078449801147,0.131538118391572,-1.3563117453352471,1.3563117453352471,0.5633447223688164,0.4393049745770243
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0875,0.0674422891273052,0.0955313300357106,-1.4882715634866248,1.4882715634866246,0.73729217134076,0.5710816758827046
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0875,0.0878592060908681,0.1496773986888956,-1.3563117453352471,1.3563117453352471,0.5491395357326183,0.4247790957403321
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0875,0.0728602240876471,0.1046730171146003,-1.488271563486625,1.4882715634866246,0.6970112621977242,0.5550153389697714
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1,0.066827211765071,0.1082479247525762,-1.2815515655446004,1.2815515655446004,0.5799956633669986,0.4544293166253617
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1,0.0584948591635017,0.077986709814946,-1.3968153097434188,1.3968153097434188,0.7512725650804912,0.5871724559015414
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1,0.069723591408313,0.1056221237842938,-1.2815515655446004,1.2815515655446004,0.5700068150917942,0.4595225357024683
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1,0.0674290998363707,0.0818200537511922,-1.3968153097434188,1.3968153097434188,0.7010451457331496,0.5766033894131753
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1125,0.0423639798855102,0.0827955341736898,-1.213339622488518,1.2133396224885171,0.6181174669324685,0.4760419594881457
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1125,0.050171928832218,0.0702736460753732,-1.3148461673777194,1.314846167377719,0.7655878780989898,0.5915370751497676
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1125,0.0546114467451746,0.0877122304245353,-1.213339622488518,1.2133396224885171,0.5898885526846263,0.4726218751719863
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1125,0.0514415004478333,0.0801728327743126,-1.3148461673777194,1.314846167377719,0.72880477987694,0.5719809093468571
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.125,0.0320480418576214,0.0742089280826095,-1.150349380376008,1.150349380376008,0.6361214989022212,0.4807503523150019
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.125,0.0480477238437613,0.0577873945160346,-1.2403182607824692,1.2403182607824692,0.7666704768520038,0.6049251959977211
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.125,0.0480768224410022,0.0834443909401833,-1.150349380376008,1.150349380376008,0.5978067068089787,0.471700210802235
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.125,0.0448144298068917,0.0629065703596333,-1.2403182607824692,1.2403182607824692,0.7396306175354188,0.5898920471466547
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.1375,0.0262135826299942,0.0598802196878661,-1.0916203674341678,1.0916203674341685,0.6467319187029351,0.4942117632505421
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.1375,0.0435371539732169,0.0437575146221019,-1.1717757885842877,1.1717757885842877,0.7736279408470781,0.6226409939992108
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.1375,0.0368647111349519,0.0677739757932211,-1.0916203674341678,1.0916203674341685,0.6149123725939066,0.4851786311898042
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.1375,0.0356049118022259,0.0475688801656292,-1.1717757885842877,1.1717757885842877,0.7576476290163167,0.6083468314413749
NKX,TSX,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.15,0.0263192603602077,0.0573590451168569,-1.0364333894937898,1.0364333894937898,0.6447800090657155,0.4937740506905206
