tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,mark,norm,both,,,9461,9223,0,28573.156940431865,-57146.31388086373,-57146.31388086373,2023-09-23 23:13:13.523627+00:00,2023-09-23 23:13:13.523627+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,mark,t,both,4.704823619050293,,9461,9223,1,29307.081937983712,-58612.163875967424,-58605.03442032419,2023-09-23 23:13:35.665121+00:00,2023-09-23 23:13:36.672484+00:00,0 days 00:00:01.007675199
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,unmark,norm,both,,,9461,9223,0,28582.10166997152,-57164.20333994304,-57164.20333994304,2023-09-23 23:14:08.905635+00:00,2023-09-23 23:14:08.905635+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,unmark,t,both,4.804008974368176,,9461,9223,1,29309.09939464123,-58616.19878928246,-58609.06933363923,2023-09-23 23:14:29.079441+00:00,2023-09-23 23:14:29.972207+00:00,0 days 00:00:00.892893799
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,norm,both,,,9461,9223,0,28254.31321157721,-56508.62642315442,-56508.62642315442,2023-09-23 23:14:59.068666+00:00,2023-09-23 23:14:59.068666+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,norm,left,,,9461,9223,1,28365.46937406473,-56728.93874812946,-56721.80929248623,2023-09-23 23:15:21.321255+00:00,2023-09-23 23:15:21.321255+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,norm,right,,,9461,9223,0,28262.2423199144,-56524.4846398288,-56524.4846398288,2023-09-23 23:15:32.818618+00:00,2023-09-23 23:15:32.818618+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,t,both,5.429823932540739,,9461,9223,1,28738.8663772182,-57475.7327544364,-57468.60329879317,2023-09-23 23:15:44.703313+00:00,2023-09-23 23:15:45.419927+00:00,0 days 00:00:00.716627999
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,t,left,4.302226470592038,,9461,9223,0,29059.54633117224,-58119.09266234448,-58119.09266234448,2023-09-23 23:16:17.033546+00:00,2023-09-23 23:16:18.174525+00:00,0 days 00:00:01.141041799
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,t,right,4.0253498885414905,,9461,9223,1,29002.328990382484,-58002.65798076497,-57995.528525121736,2023-09-23 23:16:37.601689+00:00,2023-09-23 23:16:38.873281+00:00,0 days 00:00:01.271428600
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,norm,both,,,9461,9223,0,28255.950405359217,-56511.900810718435,-56511.900810718435,2023-09-23 23:16:56.779141+00:00,2023-09-23 23:16:56.779141+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,norm,left,,,9461,9223,1,28374.553476900302,-56747.106953800605,-56739.97749815737,2023-09-23 23:17:17.409338+00:00,2023-09-23 23:17:17.409338+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,norm,right,,,9461,9223,0,28278.11169347892,-56556.22338695784,-56556.22338695784,2023-09-23 23:17:28.762577+00:00,2023-09-23 23:17:28.762577+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,t,both,5.6229525706833305,,9461,9223,1,28723.283603793472,-57444.567207586944,-57437.43775194371,2023-09-23 23:17:41.037106+00:00,2023-09-23 23:17:41.526026+00:00,0 days 00:00:00.489037600
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,t,left,4.2947703600433975,,9461,9223,0,29076.16584694469,-58152.33169388938,-58152.33169388938,2023-09-23 23:18:09.905370+00:00,2023-09-23 23:18:11.045348+00:00,0 days 00:00:01.140041499
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,t,right,3.955887382061481,,9461,9223,1,29053.96928376801,-58105.93856753602,-58098.809111892784,2023-09-23 23:18:29.583751+00:00,2023-09-23 23:18:30.864849+00:00,0 days 00:00:01.281298999
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,mark,norm,both,,,9461,9223,0,28539.32293241313,-57078.64586482626,-57078.64586482626,2023-09-23 23:18:48.303809+00:00,2023-09-23 23:18:48.303809+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,mark,t,both,4.596002281329145,,9461,9223,1,29255.145402973307,-58508.29080594661,-58501.16135030338,2023-09-23 23:19:09.364376+00:00,2023-09-23 23:19:10.366235+00:00,0 days 00:00:01.001520
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,unmark,norm,both,,,9461,9223,0,28542.029242605862,-57084.058485211724,-57084.058485211724,2023-09-23 23:19:42.713483+00:00,2023-09-23 23:19:42.713483+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,unmark,t,both,4.587631760766433,,9461,9223,1,29263.121913252304,-58524.24382650461,-58517.114370861374,2023-09-23 23:20:03.185044+00:00,2023-09-23 23:20:04.175394+00:00,0 days 00:00:00.990496199
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,mark,norm,both,,,9461,9223,0,28390.63610461695,-56781.2722092339,-56781.2722092339,2023-09-23 23:20:33.935423+00:00,2023-09-23 23:20:33.935423+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,mark,t,both,4.439749152130777,,9461,9223,1,29063.99594463498,-58125.99188926996,-58118.862433626724,2023-09-23 23:20:55.011002+00:00,2023-09-23 23:20:56.037883+00:00,0 days 00:00:01.026967099
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,unmark,norm,both,,,9461,9223,0,28395.539935241788,-56791.079870483576,-56791.079870483576,2023-09-23 23:21:30.263742+00:00,2023-09-23 23:21:30.263742+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,unmark,t,both,4.413450117906026,,9461,9223,1,29080.571380642174,-58159.14276128435,-58152.013305641114,2023-09-23 23:21:50.734803+00:00,2023-09-23 23:21:51.858266+00:00,0 days 00:00:01.123630299
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,mark,norm,both,,,9461,9223,0,28582.77504210383,-57165.55008420766,-57165.55008420766,2023-09-23 23:24:20.519291+00:00,2023-09-23 23:24:20.519291+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,mark,t,both,4.766947781897432,,9461,9223,1,29307.4288319181,-58612.8576638362,-58605.728208192966,2023-09-23 23:24:42.636764+00:00,2023-09-23 23:24:43.535535+00:00,0 days 00:00:00.898548899
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,unmark,norm,both,,,9461,9223,0,28592.34150061273,-57184.68300122546,-57184.68300122546,2023-09-23 23:25:16.078451+00:00,2023-09-23 23:25:16.078451+00:00,0 days 00:00:00
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,unmark,t,both,4.887077896732168,,9461,9223,1,29307.480052971856,-58612.96010594371,-58605.83065030048,2023-09-23 23:25:36.344335+00:00,2023-09-23 23:25:37.290147+00:00,0 days 00:00:00.945826600
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi_d,mark,norm,both,,,9461,9223,0,28277.50092276896,-56555.00184553792,-56555.00184553792,2023-09-23 23:26:06.902049+00:00,2023-09-23 23:26:06.902049+00:00,0 days 00:00:00
