tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,mark,,,0.0704321745785882,0.1811302876516504,0.0651464981677554,0.0771301025305657,0.0227929488771174,0.0057468579603447,,,,,0.1016434431662672,0.1282818370155724,0.0015294867418531,0.0013047744996924,0.0260899456773206,0.026815893969979,0.3284757254778871,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi,unmark,,,0.0682033754049966,0.1458891650359533,0.0622010986707025,0.0782369760802698,0.0204849141217629,0.0037596168250458,,,,,0.1247242139525029,0.1290447706814391,0.0016447301787639,0.0013901149231713,,,,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,mark,,,0.0571524487907372,,,0.0770583163741463,0.0146360616627311,0.0074180529165225,,,,,0.1072467949791017,0.1220626613959494,0.0014600594528838,0.0014318150636107,0.0292714938458116,0.0375079685335893,0.55077751968071,2.0868636408902197,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,bi_d,unmark,,,0.0556398809044331,,,0.0759341772941551,0.0146903365492502,0.0070322404312753,,,,,0.1247242139525029,0.1290447706814391,0.0016447301787639,0.0013901149231713,,,,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,mark,,,0.0468645140416793,0.0645707195609318,0.0468645140416793,0.0645707195609318,0.0200305539295019,0.0031463670991317,,,,,0.1028597026357426,0.1279883215112504,0.0015015392160047,0.001294849558835,0.0252499826078439,0.0263407478277483,0.3319703921336667,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci,unmark,,,0.0492216525130856,0.066051615622247,0.0492216525130856,0.066051615622247,0.0198957440283154,0.0040548620845273,,,,,0.1247242139525029,0.1290447706814391,0.0016447301787639,0.0013901149231713,,,,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,mark,,,0.0208907118991491,0.0208907118991491,0.0208907118991491,0.0208907118991491,0.0167277795472087,0.0167277795472087,,,,,0.075857853050874,0.075857853050874,0.0009286127286372,0.0009286127286372,0.0225414303603803,0.0225414303603803,0.4729309267244606,0.4729309267244606,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,True,ci_s,unmark,,,0.0205665460452179,0.0205665460452179,0.0205665460452179,0.0205665460452179,0.0165311316984256,0.0165311316984256,,,,,0.0902127595155691,0.0902127595155691,0.0010687508293576,0.0010687508293576,,,,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,mark,0.0056940255518834,0.005103806739874,0.0805110402063716,0.175101322735147,0.0778430362852428,0.0791795884783117,0.0219999028655933,0.005184788537828,,,,,0.1004059910264778,0.12788261136243,0.001505304343264,0.0013006018949185,0.0263823732287327,0.0282408358776043,0.3249252305232732,,,
NKX,TSX,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0341185066454219,0.0328314575703947,False,False,SLSQP,False,bi,unmark,0.0060920106675361,0.0054157413018287,0.078953683265518,0.1527954470993871,0.0773168230270412,0.0812843982155971,0.0207035653778731,0.0039024226188609,,,,,0.1247242139525029,0.1290447706814391,0.0016447301787639,0.0013901149231713,,,,,,
