tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2,T,N_M,N_M_1,N_M_2,N_data_H_u,N_data_H_u_1,N_data_H_u_2,N_params_H_u,N_params_H_u_1,N_params_H_u_2,log_L_H_u,log_L_H_u_1,log_L_H_u_2,AIC_H_u,AIC_H_u_1,AIC_H_u_2,BIC_H_u,BIC_H_u_1,BIC_H_u_2,N_data_H_lambda,N_data_H_lambda_1,N_data_H_lambda_2,N_params_H_lambda,N_params_H_lambda_1,N_params_H_lambda_2,log_L_H_lambda,log_L_H_lambda_1,log_L_H_lambda_2,AIC_H_lambda,AIC_H_lambda_1,AIC_H_lambda_2,BIC_H_lambda,BIC_H_lambda_1,BIC_H_lambda_2,N_data_H_M,N_data_H_M_1,N_data_H_M_2,N_params_H_M,N_params_H_M_1,N_params_H_M_2,log_L_H_M,log_L_H_M_1,log_L_H_M_2,AIC_H_M,AIC_H_M_1,AIC_H_M_2,BIC_H_M,BIC_H_M_1,BIC_H_M_2,res_start,res_end,res_delta,opt_start,opt_end,opt_delta
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,mark,0.0125,0.0125,0.3860359475967836,0.3167216734850668,0.5974644003337211,0.2713657997392503,0.1153133167272864,0.0214919245321159,,,,,0.3153321427891447,-0.1989757513710679,0.0047824339130403,0.006284663474559,0.0279030917898892,0.0472858220352542,0.4738323685774914,0.9988870349392632,0.0037155297364768,0.0016396224990878,12311,308,154,154,616,308,308,14,14,14,-198.2340056337889,-139.58696131387478,-58.64704431991413,424.4680112675778,307.1739226277496,145.29408863982826,486.3934687570471,359.3953195893796,197.5154856014583,616,308,308,14,14,14,-1389.554793751728,-731.8984224006047,-657.6563713511233,2807.109587503456,1491.796844801209,1343.3127427022466,2869.0350449929256,1544.0182417628394,1395.5341396638769,616,308,308,14,14,14,1191.3207881179392,592.3114610867299,599.0093270312092,-2354.6415762358783,-1156.6229221734598,-1170.0186540624184,-2292.716118746409,-1104.4015252118295,-1117.7972571007883,2023-09-17 06:20:14.004937+00:00,2023-09-17 06:21:03.054121+00:00,0 days 00:00:49.049290499,2023-09-17 06:20:14.039466+00:00,2023-09-17 06:20:39.879690+00:00,0 days 00:00:25.840565699
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,unmark,0.0125,0.0125,0.4010605795551934,0.313811912226335,0.6013302191183285,0.2796235747295247,0.1073576821760454,0.0203893235164741,,,,,0.3733108104764384,0.0555667426245881,0.0054987062852511,0.0077323660156089,,,,,0.0035640938527308,0.0014880775769018,12311,308,154,154,616,308,308,10,6,6,-217.58890908998592,-141.65619765856377,-75.93271143142215,455.17781817997184,295.31239531712754,163.8654228628443,499.410287815307,317.692994014969,186.24602156068573,308,154,154,6,4,4,-1393.6314685462696,-731.4548582974915,-662.1766102487782,2799.2629370925392,1470.909716594983,1332.3532204975563,2821.6435357903806,1483.0575270046374,1344.5010309072109,308,154,154,4,2,2,1176.0425594562837,589.7986606389277,586.243898817356,-2344.0851189125674,-1175.5973212778554,-1168.487797634712,-2329.1647197806733,-1169.523416073028,-1162.4138924298848,2023-09-17 06:18:24.615354+00:00,2023-09-17 06:18:43.344963+00:00,0 days 00:00:18.729835800,2023-09-17 06:18:24.654388+00:00,2023-09-17 06:18:31.265074+00:00,0 days 00:00:06.610643200
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,0.0125,0.0125,0.7143079320692355,,,0.66638787427954,0.0298687537496863,0.0351866561967338,,,,,0.3561764898983571,-0.0016507095253526,0.0049101035927351,0.0068762295480412,0.0197396391505502,0.0367560894198073,0.1461360553392728,1.7973946536605745,0.0035711508491345,0.0041701515715057,12311,308,154,154,616,308,308,12,6,6,-286.88534233712267,-141.9511636845707,-144.93417865255196,597.7706846742453,295.9023273691414,301.8683573051039,650.8496482366476,318.28292606698284,324.24895600294536,616,308,308,12,6,6,-1464.6443401299769,-732.4543521885946,-732.1899879413822,2953.2886802599537,1476.9087043771892,1476.3799758827645,3006.367643822356,1499.2893030750306,1498.760574580606,616,308,308,12,6,6,1177.7589977928542,590.5031885040239,587.2558092888303,-2331.5179955857084,-1169.0063770080478,-1162.5116185776606,-2278.439032023306,-1146.6257783102064,-1140.1310198798192,2023-09-17 06:18:56.349147+00:00,2023-09-17 06:19:35.688481+00:00,0 days 00:00:39.338966400,2023-09-17 06:18:56.391184+00:00,2023-09-17 06:19:18.265497+00:00,0 days 00:00:21.874432700
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,0.0125,0.0125,0.7216067956433825,,,0.6907776088857188,0.028069517242161,0.0348304932411948,,,,,0.3733108104764384,0.0555667426245881,0.0054987062852511,0.0077323660156089,,,,,0.0034799150544577,0.0038652798889285,12311,308,154,154,616,308,308,8,4,4,-295.9123815164669,-142.65870097379548,-153.2536805426713,607.8247630329338,293.3174019475909,314.5073610853426,643.2107387412019,308.2378010794852,329.4277602172369,308,154,154,4,2,2,-1471.9549409727506,-732.4573616127232,-739.4975793600273,2951.909881945501,1468.9147232254463,1482.9951587200546,2966.8302810773957,1474.9886284302736,1489.069063924882,308,154,154,4,2,2,1176.0425594562837,589.7986606389277,586.243898817356,-2344.0851189125674,-1175.5973212778554,-1168.487797634712,-2329.1647197806733,-1169.523416073028,-1162.4138924298848,2023-09-17 06:17:54.540488+00:00,2023-09-17 06:18:10.986133+00:00,0 days 00:00:16.445265,2023-09-17 06:17:54.571515+00:00,2023-09-17 06:18:03.202939+00:00,0 days 00:00:08.631442899
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,mark,0.0125,0.0125,0.5011489203825137,0.2829510420853652,0.5011489203825137,0.2829510420853652,0.1121082698322976,0.0217449998204171,,,,,0.314423945141325,-0.1903470318035446,0.0048277024332881,0.0061629322397261,0.0229258562265791,0.0553080396870842,0.4751200997813498,1.1987188757581568,0.0026987504691515,0.0026987504691515,12311,308,154,154,616,308,308,12,12,12,-203.46512689200108,-141.96460588856803,-61.50052100343305,430.93025378400216,307.92921177713606,147.0010420068661,484.0092173464044,352.69040917281893,191.76223940254897,616,308,308,12,12,12,-1394.5787856691,-734.3689281456573,-660.2098575234426,2813.1575713382,1492.7378562913143,1344.4197150468851,2866.2365349006022,1537.4990536869975,1389.180912442568,616,308,308,12,12,12,1191.1136587770989,592.4043222570892,598.7093365200095,-2358.2273175541977,-1160.8086445141785,-1173.418673040019,-2305.1483539917954,-1116.0474471184957,-1128.657475644336,2023-09-17 06:19:35.689982+00:00,2023-09-17 06:20:14.002935+00:00,0 days 00:00:38.313050,2023-09-17 06:19:35.730519+00:00,2023-09-17 06:19:56.813150+00:00,0 days 00:00:21.082578100
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,unmark,0.0125,0.0125,0.5106124493218325,0.2849048810983417,0.5106124493218325,0.2849048810983417,0.1027683623247951,0.0210422375157095,,,,,0.3733108104764384,0.0555667426245881,0.0054987062852511,0.0077323660156089,,,,,0.0025560333697478,0.0025560333697478,12311,308,154,154,616,308,308,8,6,6,-222.5980086134207,-143.81081322055525,-78.78719539286544,461.1960172268414,299.6216264411105,169.57439078573088,496.5819929351096,322.0022251389519,191.95498948357232,308,154,154,4,4,4,-1398.6405680697044,-733.6094738594829,-665.0310942102215,2805.2811361394088,1475.218947718966,1338.062188420443,2820.201535271303,1487.3667581286204,1350.2099988300974,308,154,154,4,2,2,1176.0425594562837,589.7986606389277,586.243898817356,-2344.0851189125674,-1175.5973212778554,-1168.487797634712,-2329.1647197806733,-1169.523416073028,-1162.4138924298848,2023-09-17 06:18:10.988135+00:00,2023-09-17 06:18:24.613353+00:00,0 days 00:00:13.625572499,2023-09-17 06:18:11.026669+00:00,2023-09-17 06:18:16.700047+00:00,0 days 00:00:05.673162599
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,mark,0.0125,0.0125,0.3773909400674486,0.3773909400674486,0.3773909400674486,0.3773909400674486,0.068576072890433,0.068576072890433,,,,,0.1916644631863117,0.1916644631863117,0.0048708869253352,0.0048708869253352,0.0406970254771493,0.0406970254771493,0.690494420805022,0.690494420805022,0.0030652264983137,0.0030652264983137,12311,308,154,154,616,308,308,6,6,6,-230.2024633616727,-149.30152579810908,-80.90093756356339,472.4049267233454,310.60305159621817,173.80187512712678,498.9444085045465,332.9836502940596,196.1824738249682,616,308,308,6,6,6,-1411.2537825672014,-738.6947625111351,-672.5590200560662,2834.5075651344027,1489.3895250222702,1357.1180401121323,2861.047046915604,1511.7701237201115,1379.4986388099735,616,308,308,6,6,6,1181.051319205529,589.393236713026,591.6580824925028,-2350.1026384110573,-1166.786473426052,-1171.3161649850056,-2323.563156629856,-1144.4058747282106,-1148.9355662871642,2023-09-17 06:18:43.347966+00:00,2023-09-17 06:18:56.347146+00:00,0 days 00:00:12.998793699,2023-09-17 06:18:43.394506+00:00,2023-09-17 06:18:51.918337+00:00,0 days 00:00:08.523873600
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,unmark,0.0125,0.0125,0.3826729567837698,0.3826729567837698,0.3826729567837698,0.3826729567837698,0.06441785412255,0.06441785412255,,,,,0.2567234481989832,0.2567234481989832,0.0063094274148316,0.0063094274148316,,,,,0.0029331760804057,0.0029331760804057,12311,308,154,154,616,308,308,4,4,4,-242.60675882909527,-149.3399249146902,-93.2668339144052,493.21351765819054,306.6798498293804,194.5336678288104,510.9065055123246,321.60024896127464,209.4540669607047,308,154,154,2,2,2,-1415.7765754200732,-738.1877516350426,-677.5888237850306,2835.5531508401464,1480.3755032700851,1359.1776475700613,2843.0133504060937,1486.4494084749124,1365.2515527748883,308,154,154,2,2,2,1173.169816590978,588.8478267203524,584.3219898706254,-2342.339633181956,-1173.6956534407047,-1164.6439797412509,-2334.879433616009,-1167.6217482358777,-1158.5700745364236,2023-09-17 06:17:47.905282+00:00,2023-09-17 06:17:54.538486+00:00,0 days 00:00:06.632998600,2023-09-17 06:17:47.937810+00:00,2023-09-17 06:17:52.378129+00:00,0 days 00:00:04.440241099
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,mark,0.0105237000681904,0.0105237000683252,0.3674083604336515,0.3016700068054967,0.5838963823025286,0.2649683682137573,0.1151449073019574,0.0213911539737223,,,,,0.3124478943459263,-0.1968388831091495,0.0047357035046023,0.0062194335227669,0.0289488554804567,0.0477820231315776,0.4702025624541939,0.993911919583406,0.0034825200092104,0.0015905020353968,12311,308,154,154,616,308,308,16,16,16,-198.52393666648163,-139.82004858506332,-58.70388808141854,429.04787333296326,311.64009717012664,149.40777616283708,499.8198247494996,371.32169369770384,209.08937269041428,616,308,308,16,16,16,-1389.8218628664192,-732.1201487274061,-657.7017141390132,2811.6437257328384,1496.2402974548122,1347.4034282780265,2882.415677149375,1555.9218939823893,1407.0850248056036,616,308,308,16,16,16,1191.2979261999376,592.3001001423428,598.9978260575947,-2350.595852399875,-1152.6002002846856,-1165.9956521151894,-2279.8239009833387,-1092.9186037571085,-1106.3140555876123,2023-09-17 06:25:40.573806+00:00,2023-09-17 06:26:46.980419+00:00,0 days 00:01:06.406611500,2023-09-17 06:25:40.607834+00:00,2023-09-17 06:26:16.733905+00:00,0 days 00:00:36.126173800
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,unmark,0.0105237000570996,0.0105237000668009,0.3826668914243907,0.3002007550326011,0.5889665948891408,0.2742015236967104,0.1072315578441183,0.0202850167944556,,,,,0.3733108104764384,0.0555667426245881,0.0054987062852511,0.0077323660156089,,,,,0.0033374057641763,0.0014399776852923,12311,308,154,154,616,308,308,12,7,7,-217.88677630936832,-141.89736915230458,-75.98940715706385,459.77355261873663,297.79473830460915,165.9788143141277,512.8525161811389,323.9054367854242,192.08951279494272,308,154,154,8,5,5,-1393.929335765652,-731.6960297912323,-662.2333059744199,2803.858671531304,1473.3920595824643,1334.4666119488395,2833.6994697950927,1488.5768225945326,1349.6513749609078,308,154,154,4,2,2,1176.0425594562837,589.7986606389277,586.243898817356,-2344.0851189125674,-1175.5973212778554,-1168.487797634712,-2329.1647197806733,-1169.523416073028,-1162.4138924298848,2023-09-17 06:23:22.878378+00:00,2023-09-17 06:23:51.886328+00:00,0 days 00:00:29.008262800,2023-09-17 06:23:22.920416+00:00,2023-09-17 06:23:34.508382+00:00,0 days 00:00:11.588009399
