tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc,T,N_data_H_B,N_params_H_B,log_L_H_B,AIC_H_B,BIC_H_B,opt_start,opt_end,opt_delta
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,mark,norm,both,,,12311,12003,0,41264.63961832624,-82529.27923665248,-82529.27923665248,2023-09-23 14:09:30.447317+00:00,2023-09-23 14:09:30.447317+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,mark,t,both,9.777204658423484,,12311,12003,1,41534.23282069179,-83066.46564138358,-83059.07272948606,2023-09-23 14:09:57.331379+00:00,2023-09-23 14:09:58.994806+00:00,0 days 00:00:01.663557199
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,unmark,norm,both,,,12311,12003,0,41269.41875241778,-82538.83750483557,-82538.83750483557,2023-09-23 14:10:37.728033+00:00,2023-09-23 14:10:37.728033+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,unmark,t,both,10.121741393899653,,12311,12003,1,41527.38309241506,-83052.76618483012,-83045.3732729326,2023-09-23 14:11:00.541103+00:00,2023-09-23 14:11:02.205531+00:00,0 days 00:00:01.664008200
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,norm,both,,,12311,12003,0,41113.70922070952,-82227.41844141904,-82227.41844141904,2023-09-23 14:11:36.192685+00:00,2023-09-23 14:11:36.192685+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,norm,left,,,12311,12003,1,41202.19535280726,-82402.39070561453,-82394.997793717,2023-09-23 14:11:58.994746+00:00,2023-09-23 14:11:58.994746+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,norm,right,,,12311,12003,0,41134.34199763257,-82268.68399526514,-82268.68399526514,2023-09-23 14:12:11.176695+00:00,2023-09-23 14:12:11.176695+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,t,both,6.74382346604619,,12311,12003,1,41539.95512083275,-83077.9102416655,-83070.51732976797,2023-09-23 14:12:23.661404+00:00,2023-09-23 14:12:25.018068+00:00,0 days 00:00:01.356443100
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,t,left,5.540520939394088,,12311,12003,0,41788.266435015146,-83576.53287003029,-83576.53287003029,2023-09-23 14:12:57.007010+00:00,2023-09-23 14:12:57.839723+00:00,0 days 00:00:00.832790799
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,t,right,5.388150447802044,,12311,12003,1,41724.30366122271,-83446.60732244542,-83439.2144105479,2023-09-23 14:13:16.619333+00:00,2023-09-23 14:13:17.598673+00:00,0 days 00:00:00.979284400
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,norm,both,,,12311,12003,0,41112.68017139446,-82225.36034278892,-82225.36034278892,2023-09-23 14:13:37.661383+00:00,2023-09-23 14:13:37.661383+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,norm,left,,,12311,12003,1,41206.4955594614,-82410.9911189228,-82403.59820702528,2023-09-23 14:13:56.325394+00:00,2023-09-23 14:13:56.325394+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,norm,right,,,12311,12003,0,41142.51115304967,-82285.02230609934,-82285.02230609934,2023-09-23 14:14:07.473457+00:00,2023-09-23 14:14:07.473457+00:00,0 days 00:00:00
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,t,both,6.978113583900757,,12311,12003,1,41519.47241971466,-83036.94483942931,-83029.5519275318,2023-09-23 14:14:17.231327+00:00,2023-09-23 14:14:18.731614+00:00,0 days 00:00:01.500309300
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,t,left,5.558148270572417,,12311,12003,0,41791.74420118884,-83583.48840237768,-83583.48840237768,2023-09-23 14:14:45.826858+00:00,2023-09-23 14:14:46.650564+00:00,0 days 00:00:00.823536599
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,t,right,5.442396394757171,,12311,12003,1,41729.81394325114,-83457.62788650228,-83450.23497460475,2023-09-23 14:15:04.820150+00:00,2023-09-23 14:15:05.795487+00:00,0 days 00:00:00.975071500
