tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,dist,bound,df,nc
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,mark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,mark,t,both,0.2636566463855062,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,unmark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,unmark,t,both,0.2796880456755509,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,norm,left,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,norm,right,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,t,both,0.1437468787733487,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,t,left,0.1001070059369284,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,t,right,0.096951779798066,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,norm,left,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,norm,right,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,t,both,0.152571715535379,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,t,left,0.1003659173075608,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,t,right,0.0981013324892928,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,mark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,mark,t,both,0.1246334715550078,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,unmark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,unmark,t,both,0.1252371195806357,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,mark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,mark,t,both,0.1241927765293974,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,unmark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,unmark,t,both,0.1244850142057115,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,mark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,mark,t,both,0.262765470415859,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,unmark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,unmark,t,both,0.2786293889481672,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,norm,left,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,norm,right,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,t,both,0.1547557794507353,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,t,left,0.1070233087598445,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,t,right,0.1038170783945434,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,norm,both,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,norm,left,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,norm,right,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,t,both,0.1646242048426471,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,t,left,0.0827305265637302,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,t,right,0.1055869600996256,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,ci,mark,norm,both,,
