tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,mode,mark,a_lambda_1,a_lambda_2,gamma_1_1,gamma_1_2,gamma_2_1,gamma_2_2,beta_1,beta_2,nu_1,nu_2,omega_1,omega_2,xi_1,xi_2,varsigma_1,varsigma_2,eta_1,eta_2,alpha_1,alpha_2,mu_1,mu_2
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,mark,,,0.0643438932133278,0.0706629490925601,0.0600235880808415,0.0646227775855959,0.0198340574423536,0.0060391986720886,,,,,0.0965070440949155,0.0758962392052895,0.0007314186608637,0.0009671266216447,0.0159308933064399,0.0108627454290138,0.2557280633570665,1.032194874748729,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi,unmark,,,0.0675116538881795,0.0743155261727954,0.0596970900677466,0.064464396255125,0.0191838755917627,0.0062154119171945,,,,,0.1005355777429059,0.0863482052870502,0.0006886058231098,0.0009101658124026,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,mark,,,0.0595844487071566,,,0.0596299762670099,0.0077091522759,0.0083239962713437,,,,,0.1001414920000846,0.0120178348558763,0.0007986979978562,0.0008100505545664,0.0175302200466475,0.02285773046281,0.3639790175688569,1.5439002495340275,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,bi_d,unmark,,,0.0587249186506376,,,0.0565394784123181,0.0071006177672574,0.0082379424131692,,,,,0.1005355777429059,0.0863482052870502,0.0006886058231098,0.0009101658124026,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,mark,,,0.0499862889191282,0.0533123799064255,0.0499862889191282,0.0533123799064255,0.0201450282892932,0.0061639700392232,,,,,0.0979696174634614,0.0762866682424618,0.0007315547556312,0.0009509093431735,0.0136345737906157,0.0125101090845038,0.2667865944092154,1.6437086255869262,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci,unmark,,,0.0491628720289174,0.0517149927988398,0.0491628720289174,0.0517149927988398,0.0191184111122591,0.0063479612464396,,,,,0.1005355777429059,0.0863482052870502,0.0006886058231098,0.0009101658124026,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,mark,,,0.0178370339870771,0.0178370339870771,0.0178370339870771,0.0178370339870771,0.0107474809654957,0.0107474809654957,,,,,0.061929106988286,0.061929106988286,0.000559020567426,0.000559020567426,0.01189340357617,0.01189340357617,0.3558801392768145,0.3558801392768145,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,True,ci_s,unmark,,,0.0174495782207498,0.0174495782207498,0.0174495782207498,0.0174495782207498,0.0102663408722007,0.0102663408722007,,,,,0.0667394135648381,0.0667394135648381,0.0005457589349998,0.0005457589349998,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,mark,0.0022017635473549,0.0024176311601521,0.0660015502145838,0.0713774217042837,0.0757408623956865,0.0660467551958726,0.019826422860369,0.0059252523826399,,,,,0.0949169914831047,0.0748015480131267,0.0007267067517367,0.0009574404553464,0.0166964563309255,0.0115642669213989,0.2499077593672805,1.134148470602097,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi,unmark,0.0022528769380563,0.0024580127692711,0.0686767409697093,0.0738543096070434,0.0751088905999699,0.0664333790838834,0.019109395661272,0.0061585056994781,,,,,0.1005355777429059,0.0863482052870502,0.0006886058231098,0.0009101658124026,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,mark,0.0024714699747064,0.0022595431789688,0.0731003002031452,,,0.0744325799380817,0.0076538611720726,0.0080588421193075,,,,,0.1004334847856816,0.003412333279827,0.0008427026349486,0.0008072711490629,0.0211413653900588,0.0220337602722103,0.2572589516113286,1.5102285863296316,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,bi_d,unmark,0.002509513034126,0.0022808690530795,0.0726799931046099,,,0.0693731246528143,0.0070625960381415,0.0081452746639724,,,,,0.1005355777429059,0.0863482052870502,0.0006886058231098,0.0009101658124026,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,ci,mark,0.0023254222828838,0.0023254222828838,0.0538391071320314,0.0540945651952011,0.0538391071320314,0.0540945651952011,0.0203981657144164,0.0061355854089288,,,,,0.0973315170933934,0.079390617781111,0.0007236383918652,0.0009681510377909,0.0137935174127043,0.0130444240244129,0.2585747759745262,1.893880396312222,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,ci,unmark,0.0023394224067125,0.0023394224067125,0.0531632565520218,0.0516001518157783,0.0531632565520218,0.0516001518157783,0.0190962105434761,0.0064031047271093,,,,,0.1005355777429059,0.0863482052870502,0.0006886058231098,0.0009101658124026,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,ci_s,mark,0.003079887950136,0.003079887950136,0.029291468112903,0.029291468112903,0.029291468112903,0.029291468112903,0.0107184762881629,0.0107184762881629,,,,,0.0611143623442873,0.0611143623442873,0.0005607109137813,0.0005607109137813,0.0119085242423992,0.0119085242423992,0.3405504939459484,0.3405504939459484,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.0125,0.0125,left,right,0.0,0.0,-0.0229367300879552,0.0230883438169313,False,False,SLSQP,False,ci_s,unmark,0.0031189986473896,0.0031189986473896,0.0281910849950654,0.0281910849950654,0.0281910849950654,0.0281910849950654,0.010275376940351,0.010275376940351,,,,,0.0667394135648381,0.0667394135648381,0.0005457589349998,0.0005457589349998,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,bi,mark,,,0.0525772826113926,0.0644267842432834,0.0462746014094215,0.0500364896040876,0.0121873946338074,0.0038925942526177,,,,,0.062995902406786,0.0457563601670503,0.0005197912317512,0.0004746591436372,0.0085024751683213,0.0070947719195392,0.1628616423022896,1.583386201347624,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,bi,unmark,,,0.0518987290641407,0.0610371311205002,0.0486321010235507,0.0536039357665664,0.0115029539212584,0.0040396249626212,,,,,0.0656102550993358,0.0688246718223993,0.0004670251787217,0.0005639785216014,,,,,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,bi_d,mark,,,0.0407464086164246,,,0.0456068712856632,0.0082378202505837,0.0046751853602172,,,,,0.0641088470438874,0.0608640439737959,0.0005176668081645,0.0005935728851894,0.0085132791979085,0.0099390305434702,0.1343132950012033,2.574666609448951,,
SPX,NASDAQ,1959-10-02,2008-09-01,0.025,0.025,left,right,0.0,0.0,-0.0184490699082569,0.0187723392745362,False,False,SLSQP,True,bi_d,unmark,,,0.0402807625195064,,,0.0425067639196949,0.0077365577753666,0.0046703636774484,,,,,0.0656102550993358,0.0688246718223993,0.0004670251787217,0.0005639785216014,,,,,,
