tick,exchange,train_start,train_end,opt_method,vol,p,o,q,dist,a_u,xi_y_1,xi_y_2,u_y_1,u_y_2,sigma_y_1,sigma_y_2
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0125,0.3248823530987619,0.009998905111124,-2.241402727604945,2.241402727604947,0.4578150153828957,0.431991399170925
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0125,0.4022079913893577,0.0049686277499195,-2.7515235937129447,2.751523593712948,0.5092763672478561,0.5132931603998501
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0125,0.3066107329613573,-0.0510917528798361,-2.241402727604945,2.241402727604947,0.4855307701192309,0.465704209289399
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0125,0.3442413432495201,0.0005611268228253,-2.7515235937129456,2.751523593712948,0.5831320272738526,0.4877615718463571
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.025,0.209711048395696,0.03214208559147,-1.9599639845400545,1.959963984540054,0.5057274716636415,0.4070329687932754
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.025,0.202469212127356,0.0124246944020246,-2.306004135033371,2.3060041350333704,0.6155627886345574,0.5012823841208438
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.025,0.2269302648207601,0.007607823644375,-1.9599639845400545,1.959963984540054,0.4814156704285748,0.4175812078467559
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.025,0.2418232928230965,0.0060748075770523,-2.306004135033371,2.3060041350333704,0.5487195153469393,0.4851371772043391
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0375,0.1307908622444219,-0.0222318881657733,-1.7804643416920256,1.7804643416920256,0.5829812221319948,0.4559849600052886
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.0375,0.1353945376533136,-0.0333725303125068,-2.0457622740501944,2.0457622740501957,0.6879670850249413,0.5605115163967602
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.0375,0.1494880944254469,-0.051167288990561,-1.7804643416920256,1.7804643416920256,0.5440843234919204,0.474416032465198
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.0375,0.1434404160637483,-0.0626463858979159,-2.0457622740501944,2.0457622740501957,0.6464570541103507,0.5691142183191437
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.05,0.1223928384690599,-0.0294677431094185,-1.6448536269514729,1.644853626951472,0.5792738437907663,0.4671926224249434
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,t,0.05,0.1287338437272872,-0.0492790291630796,-1.8595480375228428,1.859548037522842,0.6744071559234797,0.5873068983667558
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,norm,0.05,0.1364207449523092,-0.0544768524603714,-1.6448536269514729,1.6448536269514722,0.5420291899678764,0.4854420576659268
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,1,1,t,0.05,0.1243746613318438,-0.0726285336230734,-1.8595480375228428,1.859548037522842,0.651945076792823,0.5938659801243482
SPX,NASDAQ,1975-01-01,2015-01-01,SLSQP,GARCH,1,0,1,norm,0.0625,0.1305252145474167,-0.0601395661052799,-1.5341205443525463,1.5341205443525463,0.5540418681654168,0.5061194314483687
