tick,exchange,train_start,train_end,a_u_1,a_u_2,u_dir_1,u_dir_2,u_zero_1,u_zero_2,u_1,u_2,u_inclusive_1,u_inclusive_2,opt_method,fix_a_lambda,T,N_M,N_M_1,N_M_2,meta_res_start,meta_res_end,meta_res_delta
SPX,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0269249576874689,0.0259372380315372,False,False,SLSQP,True,10092,254,127,127,2023-09-21 08:32:35.196220+00:00,2023-09-21 08:36:14.561396+00:00,0 days 00:03:39.364918500
SPX,NASDAQ,1975-01-01,2015-01-01,0.0125,0.0125,left,right,0.0,0.0,-0.0269249576874689,0.0259372380315372,False,False,SLSQP,False,10092,254,127,127,2023-09-21 08:37:40.313456+00:00,2023-09-21 08:42:16.143569+00:00,0 days 00:04:35.829837200
SPX,NASDAQ,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0211561343706092,0.0211283345252183,False,False,SLSQP,True,10092,506,253,253,2023-09-21 08:43:41.964690+00:00,2023-09-21 08:50:57.482286+00:00,0 days 00:07:15.517422900
SPX,NASDAQ,1975-01-01,2015-01-01,0.025,0.025,left,right,0.0,0.0,-0.0211561343706092,0.0211283345252183,False,False,SLSQP,False,10092,506,253,253,2023-09-21 08:53:02.282343+00:00,2023-09-21 09:02:49.767800+00:00,0 days 00:09:47.485032800
SPX,NASDAQ,1975-01-01,2015-01-01,0.0375,0.0375,left,right,0.0,0.0,-0.0180913851117365,0.0179025383891545,False,False,SLSQP,True,10092,758,379,379,2023-09-21 09:04:19.957668+00:00,2023-09-21 09:15:53.198345+00:00,0 days 00:11:33.240568100
SPX,NASDAQ,1975-01-01,2015-01-01,0.0375,0.0375,left,right,0.0,0.0,-0.0180913851117365,0.0179025383891545,False,False,SLSQP,False,10092,758,379,379,2023-09-21 09:17:21.382991+00:00,2023-09-21 09:32:30.422285+00:00,0 days 00:15:09.039238500
SPX,NASDAQ,1975-01-01,2015-01-01,0.05,0.05,left,right,0.0,0.0,-0.0159822562343915,0.0160476472124264,False,False,SLSQP,True,10092,1010,505,505,2023-09-21 09:33:58.655474+00:00,2023-09-21 09:49:35.629732+00:00,0 days 00:15:36.973885600
SPX,NASDAQ,1975-01-01,2015-01-01,0.05,0.05,left,right,0.0,0.0,-0.0159822562343915,0.0160476472124264,False,False,SLSQP,False,10092,1010,505,505,2023-09-21 09:51:40.268650+00:00,2023-09-21 10:13:14.054488+00:00,0 days 00:21:33.785848200
SPX,NASDAQ,1975-01-01,2015-01-01,0.0625,0.0625,left,right,0.0,0.0,-0.0145186270036179,0.0146725623623862,False,False,SLSQP,True,10092,1262,631,631,2023-09-21 10:14:44.043184+00:00,2023-09-21 10:35:43.991996+00:00,0 days 00:20:59.948502900
SPX,NASDAQ,1975-01-01,2015-01-01,0.0625,0.0625,left,right,0.0,0.0,-0.0145186270036179,0.0146725623623862,False,False,SLSQP,False,10092,1262,631,631,2023-09-21 10:37:18.604658+00:00,2023-09-21 11:04:00.835587+00:00,0 days 00:26:42.230853400
SPX,NASDAQ,1975-01-01,2015-01-01,0.075,0.075,left,right,0.0,0.0,-0.0131797419238775,0.0134430667839033,False,False,SLSQP,True,10092,1514,757,757,2023-09-21 11:05:32.205465+00:00,2023-09-21 11:30:58.591834+00:00,0 days 00:25:26.386293700
SPX,NASDAQ,1975-01-01,2015-01-01,0.075,0.075,left,right,0.0,0.0,-0.0131797419238775,0.0134430667839033,False,False,SLSQP,False,10092,1514,757,757,2023-09-21 11:32:35.308300+00:00,2023-09-21 12:03:16.760939+00:00,0 days 00:30:41.452312200
SPX,NASDAQ,1975-01-01,2015-01-01,0.0875,0.0875,left,right,0.0,0.0,-0.0119216729725888,0.012366557092418,False,False,SLSQP,True,10092,1766,883,883,2023-09-21 12:05:26.889069+00:00,2023-09-21 12:36:22.464320+00:00,0 days 00:30:55.575651900
SPX,NASDAQ,1975-01-01,2015-01-01,0.0875,0.0875,left,right,0.0,0.0,-0.0119216729725888,0.012366557092418,False,False,SLSQP,False,10092,1766,883,883,2023-09-21 12:37:57.777583+00:00,2023-09-21 13:15:31.837165+00:00,0 days 00:37:34.059741900
SPX,NASDAQ,1975-01-01,2015-01-01,0.1,0.1,left,right,0.0,0.0,-0.0110080381626533,0.0114686604283604,False,False,SLSQP,True,10092,2020,1010,1010,2023-09-21 13:18:48.554915+00:00,2023-09-21 13:55:24.418575+00:00,0 days 00:36:35.863528800
SPX,NASDAQ,1975-01-01,2015-01-01,0.1,0.1,left,right,0.0,0.0,-0.0110080381626533,0.0114686604283604,False,False,SLSQP,False,10092,2020,1010,1010,2023-09-21 13:56:59.137327+00:00,2023-09-21 14:41:55.035429+00:00,0 days 00:44:55.898155500
SPX,NASDAQ,1975-01-01,2015-01-01,0.1125,0.1125,left,right,0.0,0.0,-0.0102068840868789,0.010765018339847,False,False,SLSQP,True,10092,2272,1136,1136,2023-09-21 14:43:29.811230+00:00,2023-09-21 15:25:54.785688+00:00,0 days 00:42:23.031443300
SPX,NASDAQ,1975-01-01,2015-01-01,0.1125,0.1125,left,right,0.0,0.0,-0.0102068840868789,0.010765018339847,False,False,SLSQP,False,10092,2272,1136,1136,2023-09-21 15:33:19.021764+00:00,2023-09-21 16:27:16.562499+00:00,0 days 00:53:57.541007500
SPX,NASDAQ,1975-01-01,2015-01-01,0.125,0.125,left,right,0.0,0.0,-0.0094955794131048,0.0100700849051393,False,False,SLSQP,True,10092,2524,1262,1262,2023-09-21 16:32:22.835100+00:00,2023-09-21 17:22:15.256066+00:00,0 days 00:49:52.420777400
SPX,NASDAQ,1975-01-01,2015-01-01,0.125,0.125,left,right,0.0,0.0,-0.0094955794131048,0.0100700849051393,False,False,SLSQP,False,10092,2524,1262,1262,2023-09-21 17:28:22.797852+00:00,2023-09-21 18:27:01.050388+00:00,0 days 00:58:38.252776999
SPX,NASDAQ,1975-01-01,2015-01-01,0.1375,0.1375,left,right,0.0,0.0,-0.0088074451686459,0.0095157833894896,False,False,SLSQP,True,10092,2776,1388,1388,2023-09-21 18:38:43.243245+00:00,2023-09-21 19:30:56.890358+00:00,0 days 00:52:13.646813800
SPX,NASDAQ,1975-01-01,2015-01-01,0.1375,0.1375,left,right,0.0,0.0,-0.0088074451686459,0.0095157833894896,False,False,SLSQP,False,10092,2776,1388,1388,2023-09-21 19:45:58.360159+00:00,2023-09-21 20:55:55.799317+00:00,0 days 01:09:57.439130699
SPX,NASDAQ,1975-01-01,2015-01-01,0.15,0.15,left,right,0.0,0.0,-0.0083035776852978,0.0089056960115222,False,False,SLSQP,True,10092,3028,1514,1514,2023-09-21 20:57:35.629954+00:00,2023-09-21 21:58:32.724592+00:00,0 days 01:00:57.094509300
SPX,NASDAQ,1975-01-01,2015-01-01,0.15,0.15,left,right,0.0,0.0,-0.0083035776852978,0.0089056960115222,False,False,SLSQP,False,10092,3028,1514,1514,2023-09-21 22:01:11.515307+00:00,2023-09-21 23:16:37.577365+00:00,0 days 01:15:26.062304600
SPX,NASDAQ,1975-01-01,2015-01-01,0.1625,0.1625,left,right,0.0,0.0,-0.0077140467894382,0.0084116182785477,False,False,SLSQP,True,10092,3280,1640,1640,2023-09-21 23:28:37.139622+00:00,2023-09-22 00:48:23.929338+00:00,0 days 01:19:46.789586800
SPX,NASDAQ,1975-01-01,2015-01-01,0.1625,0.1625,left,right,0.0,0.0,-0.0077140467894382,0.0084116182785477,False,False,SLSQP,False,10092,3280,1640,1640,2023-09-22 00:50:06.768555+00:00,2023-09-22 02:34:28.919369+00:00,0 days 01:44:22.150867100
SPX,NASDAQ,1975-01-01,2015-01-01,0.175,0.175,left,right,0.0,0.0,-0.0072225524303888,0.0079557109669066,False,False,SLSQP,True,10092,3532,1766,1766,2023-09-22 02:36:12.180450+00:00,2023-09-22 04:04:27.114062+00:00,0 days 01:28:14.933269599
SPX,NASDAQ,1975-01-01,2015-01-01,0.175,0.175,left,right,0.0,0.0,-0.0072225524303888,0.0079557109669066,False,False,SLSQP,False,10092,3532,1766,1766,2023-09-22 04:06:11.948506+00:00,2023-09-22 05:38:37.765832+00:00,0 days 01:32:25.817372500
SPX,NASDAQ,1975-01-01,2015-01-01,0.1875,0.1875,left,right,0.0,0.0,-0.00673921005382,0.0074978564188555,False,False,SLSQP,True,10092,3786,1893,1893,2023-09-22 05:47:45.126871+00:00,2023-09-22 07:25:00.999013+00:00,0 days 01:37:15.872219800
SPX,NASDAQ,1975-01-01,2015-01-01,0.1875,0.1875,left,right,0.0,0.0,-0.00673921005382,0.0074978564188555,False,False,SLSQP,False,10092,3786,1893,1893,2023-09-22 07:26:49.575154+00:00,2023-09-22 09:02:30.173567+00:00,0 days 01:35:40.598231900
SPX,NASDAQ,1975-01-01,2015-01-01,0.2,0.2,left,right,0.0,0.0,-0.0063017601525132,0.0070981010004118,False,False,SLSQP,True,10092,4038,2019,2019,2023-09-22 09:22:11.881764+00:00,2023-09-22 11:02:37.855480+00:00,0 days 01:40:25.973433400
